Row;Number of Positives;Number of Negatives;Number of True Positives;Number of False Positives;Number of False Negatives;Number of True Negatives;Pair counting cardinality P_1,1;Pair counting cardinality P_1,0;Pair counting cardinality P_0,1;Pair counting cardinality P_0,0;Precision;Negative Predictive Value;Recall;Specificity;Accuracy;Balanced Accuracy;Matthews Correlation Coefficient;Intersection over Union;Balanced Intersection over Union*;Segmentation Covering;Dice coefficient;F2-score;Cohen kappa;Global Consistency Error;Bidirectional Consistency Error;Mutual Information;Variation of Information;Pearson Correlation Coefficient;Normalized Variation of Information;Rand Index;Adjusted Rand Index;Average Hausdorff Distance;Surface Consistency Measure (a=0.5,k=3);Surface Consistency Measure (a=1,k=3);Surface Consistency Measure (a=2,k=3);Surface Consistency Measure (a=0.5,k=5);Surface Consistency Measure (a=1,k=5);Surface Consistency Measure (a=2,k=5);Surface Consistency Measure (a=0.5,k=7);Surface Consistency Measure (a=1,k=7);Surface Consistency Measure (a=2,k=7);Error Rate;Maximum Error Distance;Minimum Error Distance;Average Error Distance;Median Error Distance
Erosion 0.01;65092734;69124994;65092734;0;1342177;67782817;4.41668780246592e+15;87365970441918;90976537972609;4.41216887675168e+15;1;0.980583332853526;0.97979711299681;1;0.990000002086163;0.989898556498405;0.980190144095866;0.97979711299681;0.980194170803284;0.980194170803284;0.989795476076531;0.983772120393851;0.979993968171038;0.019611662565758;0.0294096316517101;0.643377325032822;0.0986370127268723;0.928802074261043;0.132931410765834;0.980200003941357;0.960400004278288;0.009999998;0.2689424;0.1192023;0.01798773;0.1192023;0.01798773;0.0003541112;0.04742503;0.002470732;4.768372e-07;0.00999999791383743;1;1;1;1
Erosion 0.02;63750556;70467172;63750556;0;2684355;67782817;4.33292464915646e+15;171129123751380;181953143728035;4.32119227099625e+15;1;0.961906304399444;0.959594210941293;1;0.979999996721745;0.979797105470646;0.960749562149075;0.959594210941293;0.960761867480381;0.960761867480381;0.979380532544389;0.96741202014506;0.959979880819336;0.038476258482727;0.0576681458473478;0.607727556209077;0.169135241046026;0.877844709032631;0.217715717168634;0.960799993413687;0.921599967027446;0.02;0.2689409;0.1192021;0.01798695;0.1192021;0.01798695;0.0003541708;0.04742664;0.002475441;5.960464e-08;0.0200000032782555;1;1;1;1
Erosion 0.03;62408379;71809349;62408379;0;4026532;67782817;4.25276443779621e+15;251289335111628;272929681700644;4.23021573302364e+15;1;0.943927468274361;0.939391323938102;1;0.969999998807907;0.969695661969051;0.941656664673379;0.939391323938102;0.941682173634427;0.941682173634427;0.968748609260133;0.950918101371587;0.939957762919822;0.0566356503469601;0.0848173911849449;0.577119815069976;0.229148383313604;0.834357988918925;0.284208634016577;0.941799997325242;0.883599937060693;0.03;0.2689429;0.1192009;0.01798671;0.1192009;0.01798671;0.0003364682;0.04742438;0.00247097;2.980232e-07;0.0300000011920929;1;1;1;1
Erosion 0.04;61066202;73151526;61066202;0;5368709;67782817;4.17620710463462e+15;327846668273218;363906219673253;4.13923919505103e+15;1;0.926608379981027;0.919188436934912;1;0.96000000089407;0.959594218467456;0.922890951546038;0.919188436934912;0.922935666523281;0.922935666523281;0.957892846002058;0.934288703023997;0.919927594711581;0.0741286687415773;0.110896205397155;0.5497231338425;0.282337406393757;0.795674486739809;0.339323153473411;0.923200001072884;0.846399876555679;0.04;0.2689411;0.1192033;0.01798701;0.1192033;0.01798701;0.0003328323;0.04742658;0.002473474;3.153086e-05;0.0399999991059303;1;1;1;1
Erosion 0.05;59724025;74493703;59724025;0;6710886;67782817;4.10325264967169e+15;400801123236150;454882757645862;4.04826265707843e+15;1;0.909913378852975;0.898985549931722;1;0.950000002980232;0.949492774965861;0.904432960079614;0.898985549931722;0.904504336749337;0.904504336749337;0.946806098618333;0.917522148992919;0.899889371338443;0.0909913324617911;0.135940607279192;0.524669677725676;0.330436681843022;0.760520561382434;0.386427580786195;0.905000004656613;0.809999777283567;0.05;0.2689414;0.1192029;0.01798642;0.1192029;0.01798642;0.0003563762;0.04742521;0.002471864;3.576279e-07;0.0499999970197678;1;1;1;1
Erosion 0.06;58381847;75835881;58381847;0;8053064;67782817;4.03390102257863e+15;470152750329208;545859363401288;3.957286051323e+15;1;0.893809316990726;0.878782647876205;1;0.939999997615814;0.939391323938102;0.886264135730163;0.878782647876205;0.886371436465363;0.886371436465363;0.935480907139088;0.900616722758443;0.879843073001684;0.107257122300902;0.159984083268655;0.501449572604433;0.374464321721834;0.728141994223494;0.427512708894592;0.887199994963408;0.774399605176572;0.06354465;0.2752004;0.1272955;0.02259076;0.1227587;0.01950514;0.000429213;0.04900503;0.002689362;1.370907e-06;0.0600000023841858;2;1;1.05907738208771;1
Erosion 0.07;57039670;77178058;57039670;0;9395241;67782817;3.96815232669737e+15;535901446210470;636835901373897;3.86630951335039e+15;1;0.878265387294404;0.858579760873014;1;0.929999999701977;0.929289880436507;0.868366792436396;0.858579760873014;0.868521422329625;0.868521422329625;0.923909513003328;0.883570717298197;0.859788724708612;0.122957154744704;0.183057738261691;0.479726960764149;0.415090066556843;0.698037901403249;0.463882619444098;0.869799998517334;0.739599405828661;0.07984533;0.2838424;0.1384672;0.02894717;0.1276673;0.02160245;0.0005594492;0.05118471;0.002987385;4.649162e-06;0.0700000002980232;2;1;1.14064466953278;1
Erosion 0.08;55697493;78520235;55697493;0;10737418;67782817;3.90600650901477e+15;598047263893074;727812439346506;3.77533297537778e+15;1;0.863252854503046;0.838376873869824;1;0.920000001788139;0.919188436934912;0.850723944365895;0.838376873869824;0.850939774971512;0.850939774971512;0.912083790637577;0.866382358924507;0.839726306658683;0.138120453633255;0.205190602043706;0.459263903654654;0.452787459092467;0.669850489756817;0.496449517633152;0.852800001907349;0.705599145350476;0.09613781;0.2903112;0.1468288;0.03370106;0.1313432;0.02317262;0.0006566048;0.05281723;0.003209412;3.987551e-05;0.0799999982118607;2;1;1.2017205953598;1
Erosion 0.09;54355315;79862413;54355315;0;12079596;67782817;3.8474635272551e+15;656590245652740;818789045101932;3.68435636962236e+15;1;0.848744915834186;0.818173971814307;1;0.909999996423721;0.909086985907154;0.833319265855084;0.818173971814307;0.833612950963296;0.833612950963296;0.89999525292717;0.849049843987078;0.819655799023386;0.15277409092085;0.226409751310156;0.439883165512462;0.487908269163796;0.643311030998075;0.525881411412303;0.836199992914498;0.672398792623873;0.1124386;0.2953541;0.153348;0.03741014;0.1342081;0.02439493;0.0007328391;0.05408782;0.003384352;1.019239e-05;0.0900000035762787;2;1;1.24931490421295;1
Erosion 0.1;53013138;81204590;53013138;0;13421773;67782817;3.79252346865417e+15;711530304253674;909765583074541;3.59337983164975e+15;1;0.834716572055841;0.797971084811117;1;0.899999998509884;0.898985542405558;0.816137052530527;0.797971084811117;0.816528340060475;0.816528340060475;0.887635058819588;0.831571377469578;0.799577226834348;0.166943316898817;0.246740426568999;0.421447781357362;0.520723353189468;0.618210130359796;0.552684468984425;0.81999999627471;0.639998390828448;0.1287416;0.2993899;0.1585662;0.04037958;0.1365;0.02537501;0.0007942915;0.05510646;0.003523111;1.311302e-06;0.100000001490116;2;1;1.2874116897583;1
Erosion 0.11;51670961;82546767;51670961;0;14763950;67782817;3.74118628825189e+15;762867484655950;1.00074212104715e+15;3.50240329367714e+15;1;0.821144418654216;0.777768197807927;1;0.890000000596046;0.888884098903963;0.799162070319111;0.777768197807927;0.799674115033523;0.799674115033523;0.87499393764266;0.813945094871673;0.779490570261228;0.180651771125047;0.266206272420333;0.403848779255067;0.55144717704116;0.594379822999766;0.577252707296253;0.804199999471009;0.608397909024475;0.1450431;0.3026913;0.1628342;0.04280961;0.1383749;0.02617598;0.00084126;0.05593812;0.003637195;1.299381e-05;0.109999999403954;2;1;1.3185693025589;1.41421353816986
Erosion 0.12;50328784;83888944;50328784;0;16106127;67782817;3.69345198604827e+15;810601786859568;1.09171865901976e+15;3.41142675570453e+15;1;0.808006559243373;0.757565310804736;1;0.880000002682209;0.878782655402368;0.782379537171999;0.757565310804736;0.783039217740247;0.783039217740247;0.86206220178284;0.79616911310104;0.759395824420428;0.193921569883925;0.284829405148544;0.386997520954482;0.580253126440314;0.571682360385786;0.599899444888638;0.788800002503395;0.5775973416936;0.1702801;0.3142502;0.1815819;0.0645718;0.1457337;0.03084242;0.001533628;0.05942416;0.004340291;2.384186e-05;0.119999997317791;3;1;1.41899454593658;1.41421353816986
Erosion 0.13;48986606;85231122;48986606;0;17448305;67782817;3.64932053050501e+15;854733242402830;1.18269526477518e+15;3.3204501499491e+15;1;0.795282467359751;0.737362408749219;1;0.869999997317791;0.86868120437461;0.765775029475634;0.737362408749219;0.766613274427909;0.766613274427909;0.848829703044017;0.77824150352886;0.739292969443615;0.206773445779763;0.302630560894922;0.370820549737794;0.607283782898365;0.550002647610774;0.62087832824708;0.773799994345009;0.547596661650423;0.1961928;0.3246471;0.1985054;0.08436197;0.1523623;0.03506911;0.002165079;0.06256574;0.004977822;4.029274e-05;0.130000002682209;3;1;1.5091712474823;1.41421353816986
Erosion 0.14;47644429;86573299;47644429;0;18790482;67782817;3.60879198738306e+15;895261785524778;1.27367180274779e+15;3.22947361197649e+15;1;0.782952917157518;0.717159521746029;1;0.859999999403954;0.858579760873014;0.749334464453854;0.717159521746029;0.750386590535225;0.750386590535225;0.835285845798196;0.760160344843051;0.719182030394891;0.219226817737458;0.319629151209362;0.355256100194613;0.632657895549739;0.529243091481972;0.640397745426268;0.759199997347593;0.518395908855451;0.2221174;0.3335686;0.2130315;0.1013582;0.1580542;0.03869754;0.002707243;0.06526411;0.005528331;5.227327e-05;0.140000000596046;3;1;1.58654844760895;1.41421353816986
Erosion 0.15;46302252;87915476;46302252;0;20132659;67782817;3.57186632245977e+15;932187450448068;1.3646483407204e+15;3.13849707400388e+15;1;0.770999829427074;0.696956634742839;1;0.850000001490116;0.848478317371419;0.73304395946273;0.696956634742839;0.734350028224934;0.734350028224934;0.821419499442256;0.7419236422022;0.699062987404074;0.231299946530364;0.335843440703243;0.340251504916562;0.656475515663917;0.509319770464128;0.658631202033226;0.745000000186265;0.489995056301695;0.2480323;0.3412924;0.2256044;0.1160634;0.1629786;0.041839;0.003176808;0.06759977;0.006000042;5.185604e-05;0.149999998509884;3;1;1.65354466438293;1.41421353816986
Dilation 0.01;67777088;66440640;66434911;1342177;0;66440640;4.41487867403456e+15;89175098873280;89167409541247;4.41397800518304e+15;0.980197186990388;1;1;0.980198860723065;0.990000002086163;0.990099430361532;0.980198023856369;0.980197186990388;0.980198032261109;0.980198032261109;0.989999575224269;0.995975683163026;0.980002003934662;0.019603973124753;0.0294059429498062;0.643576203041669;0.098641031007195;0.9288198556359;0.132900485844419;0.980200003941357;0.960400007486788;0.009999998;0.268942;0.1192021;0.01798809;0.1192021;0.01798809;0.0003535748;0.04742575;0.002470434;4.768372e-07;0.00999999791383743;1;1;1;1
