Row;Number of Positives;Number of Negatives;Number of True Positives;Number of False Positives;Number of False Negatives;Number of True Negatives;Pair counting cardinality P_1,1;Pair counting cardinality P_1,0;Pair counting cardinality P_0,1;Pair counting cardinality P_0,0;Precision;Negative Predictive Value;Recall;Specificity;Accuracy;Balanced Accuracy;Matthews Correlation Coefficient;Intersection over Union;Balanced Intersection over Union*;Segmentation Covering;Dice coefficient;F2-score;Cohen kappa;Global Consistency Error;Bidirectional Consistency Error;Mutual Information;Variation of Information;Pearson Correlation Coefficient;Normalized Variation of Information;Rand Index;Adjusted Rand Index;Average Hausdorff Distance;Surface Consistency Measure (a=0.5,k=3);Surface Consistency Measure (a=1,k=3);Surface Consistency Measure (a=2,k=3);Surface Consistency Measure (a=0.5,k=5);Surface Consistency Measure (a=1,k=5);Surface Consistency Measure (a=2,k=5);Surface Consistency Measure (a=0.5,k=7);Surface Consistency Measure (a=1,k=7);Surface Consistency Measure (a=2,k=7);Error Rate;Maximum Error Distance;Minimum Error Distance;Average Error Distance;Median Error Distance
Erosion 0.01;91042505;43175223;91042505;0;1342177;41833046;5.02027137959737e+15;122195156233386;56147352181143;3.80858529962023e+15;1;0.968913258421387;0.985471866429112;1;0.990000002086163;0.992735933214556;0.977157488424684;0.985471866429112;0.980310871523259;0.980310871523259;0.99268278044301;0.988343624065985;0.976896667893327;0.0197094332168732;0.0293985637797765;0.583577012561782;0.0891053190169739;0.929070920401444;0.132462701685427;0.980200003941357;0.959672377180733;0.009999998;0.2689419;0.1192016;0.01798773;0.1192016;0.01798773;0.0003554225;0.04742479;0.002471149;4.768372e-07;0.00999999791383743;1;1;1;1
Erosion 0.02;89700327;44517401;89700327;0;2684355;41833046;4.90167901454667e+15;240787521284086;112294746195331;3.75243790560604e+15;1;0.93970099467397;0.970943722033919;1;0.979999996721745;0.985471861016959;0.955194630097825;0.970943722033919;0.961205973747685;0.961205973747685;0.985257682580558;0.976619105271872;0.954191923200359;0.0388377552473599;0.0576317782214192;0.552576355408035;0.158339309876671;0.874695526457141;0.222725869760177;0.960799993413686;0.920319030967359;0.02;0.2689413;0.1192017;0.01798666;0.1192017;0.01798666;0.0003572702;0.04742682;0.002475321;1.192093e-07;0.0200000032782555;1;1;1;1
Erosion 0.03;88358150;45859578;88358150;0;4026532;41833046;4.78668961739496e+15;355776918435800;168442098376472;3.6962905534249e+15;1;0.912198668727392;0.956415588463031;1;0.969999998807907;0.978207794231515;0.934045516313901;0.956415588463031;0.94263403765866;0.94263403765866;0.977722314321157;0.964825861948768;0.931875572236744;0.0573849375880543;0.0847508987373016;0.526506661773631;0.217260193044914;0.829016270006764;0.292107925537928;0.941799997325242;0.881920596479951;0.03;0.2689433;0.1192008;0.0179857;0.1192008;0.0179857;0.0003358126;0.04742342;0.002471328;3.576279e-07;0.0300000011920929;1;1;1;1
Erosion 0.04;87015973;47201755;87015973;0;5368709;41833046;4.6753030984419e+15;467163437388858;224589450557615;3.64014320124376e+15;1;0.886260394343388;0.941887454892143;1;0.96000000089407;0.970943727446072;0.913650670223473;0.941887454892143;0.924549585912713;0.924549585912713;0.970074195102576;0.952963279201894;0.909937717355412;0.0753509947071454;0.110801409688502;0.503542234522016;0.269525922980145;0.788974040298269;0.348644450511327;0.923200001072883;0.844458429225154;0.04;0.2689407;0.1192023;0.01798558;0.1192023;0.01798558;0.0003349185;0.04742658;0.002474129;3.08156e-05;0.0399999991059303;1;1;1;1
Erosion 0.05;85673796;48543932;85673796;0;6710886;41833046;4.5675194576875e+15;574947078143256;280736802738756;3.58399584906262e+15;1;0.861756439507208;0.927359321321255;1;0.950000002980232;0.963679660660628;0.893956300322127;0.927359321321255;0.906912183573106;0.906912183573106;0.962310775227451;0.941030743697201;0.888368810313441;0.0927359266046332;0.135823746011759;0.482820134422271;0.316868360395333;0.753088568459739;0.396239738909343;0.905000004656613;0.807914694153283;0.05;0.2689413;0.1192018;0.01798671;0.1192018;0.01798671;0.00035882;0.04742545;0.002471864;3.576279e-07;0.0499999970197678;1;1;1;1
Erosion 0.06;84331618;49886110;84331618;0;8053064;41833046;4.4633386188532e+15;679127916977552;336884196752944;3.52784845504843e+15;1;0.838571017062665;0.912831176926062;1;0.939999997615814;0.956415588463031;0.874913577698619;0.912831176926062;0.889685734592745;0.889685734592745;0.954429421620982;0.929027625876223;0.867159605681569;0.109539745583846;0.159854008606915;0.463835049106158;0.360303582198781;0.720473927186723;0.437188075540491;0.887199994963408;0.772272282474497;0.06109472;0.2708755;0.1217077;0.01941657;0.1203027;0.018457;0.0003638864;0.0479148;0.002539515;1.788139e-07;0.0600000023841858;2;1;1.01824426651001;1
Erosion 0.07;82989441;51228287;82989441;0;9395241;41833046;4.36276073718048e+15;779705798650281;393031548934086;3.47170110286729e+15;1;0.816600523847303;0.898303043355174;1;0.929999999701977;0.949151521677587;0.856478099998746;0.898303043355174;0.8728379627893;0.8728379627893;0.946427438442558;0.916953315673041;0.846301210614476;0.125762426605155;0.182924463517832;0.446255366861254;0.400499751630022;0.690536910172878;0.472981789993335;0.869799998517334;0.737514891498249;0.07744773;0.2802205;0.1338045;0.02633023;0.1256132;0.02073139;0.0005055666;0.05027223;0.00286293;3.457069e-06;0.0700000002980232;2;1;1.10639595985413;1
Erosion 0.08;81647264;52570464;81647264;0;10737418;41833046;4.2657857337064e+15;876680802124352;449178901115228;3.41555375068614e+15;1;0.795751888360734;0.883774909784287;1;0.920000001788139;0.941887454892143;0.838609297197857;0.883774909784287;0.856339852142196;0.856339852142196;0.938302028755111;0.904807168747384;0.825784977527272;0.14140398240486;0.205064132050804;0.429847125506666;0.437929274492687;0.662851243065642;0.504656815388173;0.852800001907349;0.703626841096942;0.09380841;0.2872376;0.1428938;0.03152752;0.1296041;0.02243924;0.0006127954;0.05204523;0.003104806;3.904104e-05;0.0799999982118607;2;1;1.172602891922;1
Erosion 0.09;80305086;53912642;80305086;0;12079596;41833046;4.1724135402055e+15;970052995625256;505326295129416;3.35940635667196e+15;1;0.775941308904876;0.869246765389093;1;0.909999996423721;0.934623382694547;0.821270036527172;0.869246765389093;0.8401652758473;0.8401652758473;0.930050308481508;0.892588532961354;0.805602540739347;0.156464423987374;0.226299144563795;0.414436810453856;0.472943215307998;0.637095491258893;0.532965811239616;0.836199992914498;0.670593133482821;0.1101585;0.2926843;0.1499446;0.03555679;0.1326997;0.02376306;0.0006951094;0.05341941;0.003294468;8.761883e-06;0.0900000035762787;2;1;1.22398042678833;1
Erosion 0.1;78962909;55254819;78962909;0;13421773;41833046;4.0826442958131e+15;1.05982224001766e+15;561473647310558;3.30325900449081e+15;1;0.757093168651951;0.854718631818206;1;0.899999998509884;0.927359315909103;0.804426278330777;0.854718631818206;0.824290680516532;0.824290680516532;0.921669321864;0.880296775817565;0.785745849104977;0.170943728910901;0.246653046904253;0.399890935729033;0.50581214998583;0.613018643064896;0.558474579543469;0.81999999627471;0.638399502670135;0.1265107;0.2970423;0.1555867;0.03877807;0.1351758;0.02482301;0.0007586479;0.05452013;0.003445089;1.192093e-06;0.100000001490116;2;1;1.26510429382324;1
Erosion 0.11;77620732;56596996;77620732;0;14763950;41833046;3.99647792961936e+15;1.1459886062114e+15;617620999491700;3.24711165230967e+15;1;0.739138981863984;0.840190498247318;1;0.890000000596046;0.920095249123659;0.788046667048542;0.840190498247318;0.808694713031569;0.808694713031569;0.913156001020062;0.867931229722838;0.766207065011029;0.184841908612825;0.266147196177302;0.386103803320527;0.536750685633968;0.590419269275796;0.58162006259736;0.804199999471009;0.60703224664381;0.1428652;0.3006113;0.1602074;0.04142177;0.1372038;0.02569187;0.000813961;0.0554204;0.003569305;1.311302e-05;0.109999999403954;2;1;1.29877018928528;1
Erosion 0.12;76278555;57939173;76278555;0;16106127;41833046;3.91391444162427e+15;1.22855209420648e+15;673768351672842;3.19096430012853e+15;1;0.722016622501671;0.82566236467643;1;0.880000002682209;0.912831182338215;0.772102293657012;0.82566236467643;0.793358009918608;0.793358009918608;0.904507186708387;0.855491228230378;0.746978614492072;0.198158963093145;0.284800955856746;0.3729898492796;0.565932772693028;0.569132350372465;0.602746977705183;0.788800002503395;0.576478307480651;0.159215;0.3035805;0.1640524;0.04361439;0.1388922;0.02641398;0.0008584857;0.05617142;0.003670514;1.478195e-05;0.119999997317791;2;1;1.32678651809692;1.41421353816986
Erosion 0.13;74936377;59281351;74936377;0;17448305;41833046;3.83495377433977e+15;1.30751276149098e+15;729915745687030;3.13481690611434e+15;1;0.705669578954096;0.811134220281237;1;0.869999997317791;0.905567110140618;0.7565664172438;0.811134220281237;0.778262950161005;0.778262950161005;0.895719611719646;0.842976087490884;0.728053148291455;0.210894901624385;0.30263194878117;0.360478512878923;0.593501986408762;0.549020354016216;0.622132199611959;0.773799994345009;0.546725206768017;0.1816013;0.3115905;0.1767955;0.05785871;0.1439385;0.02953047;0.001308084;0.05854845;0.004140198;2.592802e-05;0.130000002682209;3;1;1.39692842960358;1.41421353816986
Erosion 0.14;73594200;60623528;73594200;0;18790482;41833046;3.75959604542636e+15;1.3828704904044e+15;786063097868172;3.0786695539332e+15;1;0.690046379352914;0.796606086710349;1;0.859999999403954;0.898303043355174;0.74141428763207;0.796606086710349;0.763393505883246;0.763393505883246;0.886789923069852;0.83038514348453;0.709423588707141;0.223049705228526;0.319656198749234;0.348510749595612;0.619578506164054;0.529967097905688;0.64000142804794;0.759199997347593;0.517761117016636;0.2075963;0.3215057;0.1929944;0.07696855;0.1502782;0.03359544;0.001921594;0.06155783;0.00475502;3.409386e-05;0.140000000596046;3;1;1.4828268289566;1.41421353816986
Erosion 0.15;72252023;61965705;72252023;0;20132659;41833046;3.6878411947116e+15;1.45462534111916e+15;842210450049314;3.02252220175206e+15;1;0.67509997667258;0.782077953139461;1;0.850000001490116;0.89103897656973;0.726622878748384;0.782077953139461;0.748735005995206;0.748735005995206;0.877714638421608;0.817717695950588;0.691083036100581;0.234623383611064;0.335888379105974;0.337036466913734;0.644264265825818;0.511873201344367;0.656541103385493;0.745000000186264;0.489574713080571;0.2335826;0.3300928;0.207016;0.09350085;0.1557635;0.03711486;0.002452075;0.06416142;0.005285144;3.862381e-05;0.149999998509884;3;1;1.55721127986908;1.41421353816986
Dilation 0.01;93726859;40490869;92384682;1342177;0;40490869;5.08812062274894e+15;54345913081814;123996595332715;3.74073605646866e+15;0.985679910600653;1;1;0.967915867278706;0.990000002086163;0.983957933639353;0.976757506000455;0.985679910600653;0.980143205036445;0.980143205036445;0.992788319344473;0.997102791492259;0.976487473909878;0.019713594099436;0.0293927507529932;0.575740708944764;0.0889297091053072;0.928382041150952;0.133795196371456;0.980200003941357;0.959496069770476;0.009999998;0.2689412;0.1192016;0.01798832;0.1192016;0.01798832;0.0003539324;0.0474261;0.00247097;4.768372e-07;0.00999999791383743;1;1;1;1
Dilation 0.02;95069037;39148691;92384682;2684355;0;39148691;5.03737755140145e+15;105088984429306;247993283050110;3.61673936875126e+15;0.971764150719229;1;1;0.935831710652865;0.979999996721745;0.967915855326433;0.953628705271976;0.971764150719229;0.960564710521669;0.960564710521669;0.985679905342395;0.994222319982104;0.952554767572914;0.0388705724001514;0.0575872096811042;0.53707145420222;0.157636269153931;0.872197807380187;0.226910201015739;0.960799993413687;0.919620671736166;0.02;0.2689414;0.1192014;0.01798648;0.1192014;0.01798648;0.0003547668;0.04742676;0.00247556;5.960464e-08;0.0200000032782555;1;1;1;1
