Row;Number of Positives;Number of Negatives;Number of True Positives;Number of False Positives;Number of False Negatives;Number of True Negatives;Pair counting cardinality P_1,1;Pair counting cardinality P_1,0;Pair counting cardinality P_0,1;Pair counting cardinality P_0,0;Precision;Negative Predictive Value;Recall;Specificity;Accuracy;Balanced Accuracy;Matthews Correlation Coefficient;Intersection over Union;Balanced Intersection over Union*;Segmentation Covering;Dice coefficient;F2-score;Cohen kappa;Global Consistency Error;Bidirectional Consistency Error;Mutual Information;Variation of Information;Pearson Correlation Coefficient;Normalized Variation of Information;Rand Index;Adjusted Rand Index;Average Hausdorff Distance;Surface Consistency Measure (a=0.5,k=3);Surface Consistency Measure (a=1,k=3);Surface Consistency Measure (a=2,k=3);Surface Consistency Measure (a=0.5,k=5);Surface Consistency Measure (a=1,k=5);Surface Consistency Measure (a=2,k=5);Surface Consistency Measure (a=0.5,k=7);Surface Consistency Measure (a=1,k=7);Surface Consistency Measure (a=2,k=7);Error Rate;Maximum Error Distance;Minimum Error Distance;Average Error Distance;Median Error Distance
Erosion 0.01;92329717;41888011;92329717;0;1342177;40545834;5.08527130046862e+15;123922822573910;54419685840619;3.74358537874898e+15;1;0.967957967734491;0.985671507827097;1;0.990000002086163;0.992835753913549;0.976774584830148;0.985671507827097;0.980320424428135;0.980320424428135;0.992784057123032;0.988504262945998;0.976504949327813;0.0197134260439999;0.0293930037020272;0.576517608510325;0.0884902176004274;0.928724603513713;0.133066430387678;0.980200003941357;0.959503882942825;0.009999998;0.2689414;0.1192018;0.01798797;0.1192018;0.01798797;0.0003547072;0.04742509;0.002470851;4.172325e-07;0.00999999791383743;1;1;1;1
Erosion 0.02;90987539;43230189;90987539;0;2684355;40545834;4.96495126779019e+15;244242855252346;108839412227071;3.68916565236253e+15;1;0.937905545589912;0.971343004978633;1;0.979999996721745;0.985671502489317;0.954477863043156;0.971343004978633;0.961241882735252;0.961241882735252;0.985463212160951;0.976942250822228;0.953442854119485;0.0388537265677664;0.0576118405542586;0.545814944616226;0.157567648718693;0.873881387491609;0.22401414281753;0.960799993413686;0.920013364672173;0.02;0.2689412;0.119203;0.01798677;0.119203;0.01798677;0.0003552437;0.04742682;0.002476871;5.960464e-08;0.0200000032782555;1;1;1;1
Erosion 0.03;89645362;44572366;89645362;0;4026532;40545834;4.84823420429795e+15;360959918744584;163259098067688;3.63474596652191e+15;1;0.909663040997195;0.95701451280573;1;0.969999998807907;0.978507256402865;0.933038440792934;0.95701451280573;0.942710106493588;0.942710106493588;0.978035171986209;0.965313406218018;0.930801889621365;0.0574208730500442;0.0847107653643629;0.520034262570318;0.216343070765261;0.827866869431735;0.293793767096671;0.941799997325242;0.881506347050546;0.03;0.2689431;0.1192005;0.01798546;0.1192005;0.01798546;0.0003356934;0.04742378;0.002471387;1.192093e-07;0.0300000011920929;1;1;1;1
Erosion 0.04;88303185;45914543;88303185;0;5368709;40545834;4.73512001900437e+15;474074104038166;217678783908307;3.58032628068129e+15;1;0.883071709980866;0.942686020632827;1;0.96000000089407;0.971343010316414;0.912392106616058;0.942686020632827;0.924677133284363;0.924677133284363;0.970497559174023;0.953617139241359;0.908570608555954;0.0754148799649722;0.110737747574679;0.497350391091018;0.26847397679212;0.787576618818507;0.350568600388396;0.923200001072883;0.84396159542651;0.04;0.2689409;0.119203;0.01798618;0.119203;0.01798618;0.0003338456;0.04742688;0.002473474;3.039837e-05;0.0399999991059303;1;1;1;1
Erosion 0.05;86961008;47256720;86961008;0;6710886;40545834;4.62560871190944e+15;583585411133088;272098469748924;3.52590659484067e+15;1;0.857990863521632;0.928357528459924;1;0.950000002980232;0.964178764229962;0.892480967584261;0.928357528459924;0.907100462361163;0.907100462361163;0.962847931214658;0.941852861829638;0.886737990923775;0.0928357473125503;0.13573528793162;0.476900871740061;0.315691814042296;0.751507001835309;0.398302709203884;0.905000004656613;0.807358819647045;0.05;0.2689415;0.1192029;0.01798683;0.1192029;0.01798683;0.0003576875;0.04742575;0.002472281;3.576279e-07;0.0499999970197678;1;1;1;1
Erosion 0.06;85618830;48598898;85618830;0;8053064;40545834;4.51970020544741e+15;689493917595120;326518196135376;3.47148686845422e+15;1;0.834295337314027;0.91402902561146;1;0.939999997615814;0.95701451280573;0.873252629104158;0.91402902561146;0.889942275387857;0.889942275387857;0.955083766631452;0.930019970219576;0.865293392610853;0.109683487431805;0.159741209659762;0.458180833258961;0.359012288915481;0.718757478623246;0.439323679034641;0.887199994963408;0.77167858282871;0.06086143;0.2704628;0.1211724;0.0191108;0.1200684;0.01835632;0.0003587008;0.04781002;0.002525628;3.576279e-07;0.0600000023841858;2;1;1.01435530185699;1
Erosion 0.07;84276653;49941075;84276653;0;9395241;40545834;4.41739465743416e+15;791799465608373;380937881975994;3.4170671826136e+15;1;0.811873472887798;0.899700533438557;1;0.929999999701977;0.949850266719279;0.854659579389225;0.899700533438557;0.873168856357874;0.873168856357874;0.947202485446538;0.918117880162726;0.844226591756355;0.125958075217661;0.182789218561764;0.440859068869759;0.399103233348292;0.688724768350366;0.475144220513704;0.869799998517334;0.736902373907143;0.07721275;0.2798631;0.1333376;0.02605385;0.125409;0.0206424;0.0004999638;0.05018204;0.00285089;3.039837e-06;0.0700000002980232;2;1;1.10303950309753;1
Erosion 0.08;82934476;51283252;82934476;0;10737418;40545834;4.31869198761956e+15;890502135422968;435357567816612;3.36264749677298e+15;1;0.790625251300366;0.885372041265654;1;0.920000001788139;0.942686020632827;0.836658528086564;0.885372041265654;0.856749983097858;0.856749983097858;0.939201411591213;0.906145973926973;0.823527676551057;0.141659523436168;0.204909542126449;0.424701990064682;0.436436757022954;0.660975231627925;0.506813516984318;0.852800001907349;0.703012417034905;0.09355778;0.2869028;0.142451;0.03125232;0.1294121;0.02235359;0.0006064773;0.05195975;0.003092527;3.862381e-05;0.0799999982118607;2;1;1.1694700717926;1
Erosion 0.09;81592298;52625430;81592298;0;12079596;40545834;4.22359212649092e+15;985601996551608;489777294203064;3.30822777038653e+15;1;0.77046085894215;0.871043538417191;1;0.909999996423721;0.935521769208595;0.819209956473259;0.871043538417191;0.840658516363545;0.840658516363545;0.931077786841935;0.894103626407156;0.803187078904306;0.156787843145283;0.226129323205459;0.409536427305252;0.471363660790719;0.635181837165776;0.53509321563306;0.836199992914498;0.669991725054409;0.1099135;0.2923928;0.1495563;0.0353108;0.1325312;0.02368867;0.0006898642;0.05334496;0.003284335;8.106232e-06;0.0900000035762787;2;1;1.22125732898712;1
Erosion 0.1;80250121;53967607;80250121;0;13421773;40545834;4.132095215758e+15;1.07709890728453e+15;544196980043682;3.25380808454591e+15;1;0.751299460063145;0.856715046244288;1;0.899999998509884;0.928357523122144;0.802277727268622;0.856715046244288;0.824870051384046;0.824870051384046;0.922828786223527;0.881990232170186;0.783195603973884;0.171343011802067;0.246472958927905;0.395229213368647;0.504154286913748;0.611089202388932;0.560555410184254;0.81999999627471;0.637824142851899;0.1262682;0.2967831;0.1552392;0.03855515;0.1350254;0.02475578;0.0007554889;0.0544529;0.003435552;1.132488e-06;0.100000001490116;2;1;1.26267790794373;1
