Row;Number of Positives;Number of Negatives;Number of True Positives;Number of False Positives;Number of False Negatives;Number of True Negatives;Pair counting cardinality P_1,1;Pair counting cardinality P_1,0;Pair counting cardinality P_0,1;Pair counting cardinality P_0,0;Precision;Negative Predictive Value;Recall;Specificity;Accuracy;Balanced Accuracy;Matthews Correlation Coefficient;Intersection over Union;Balanced Intersection over Union*;Segmentation Covering;Dice coefficient;F2-score;Cohen kappa;Global Consistency Error;Bidirectional Consistency Error;Mutual Information;Variation of Information;Pearson Correlation Coefficient;Normalized Variation of Information;Rand Index;Adjusted Rand Index;Average Hausdorff Distance;Surface Consistency Measure (a=0.5,k=3);Surface Consistency Measure (a=1,k=3);Surface Consistency Measure (a=2,k=3);Surface Consistency Measure (a=0.5,k=5);Surface Consistency Measure (a=1,k=5);Surface Consistency Measure (a=2,k=5);Surface Consistency Measure (a=0.5,k=7);Surface Consistency Measure (a=1,k=7);Surface Consistency Measure (a=2,k=7);Error Rate;Maximum Error Distance;Minimum Error Distance;Average Error Distance;Median Error Distance
Erosion 0.01;92005726;42212002;92005726;0;1342177;40869825;5.06859875859965e+15;123487969305503;54854539109026;3.76025792061795e+15;1;0.968203900871605;0.985621776634875;1;0.990000002086163;0.992810888317438;0.976874018961446;0.985621776634875;0.980317965097277;0.980317965097277;0.992758830742936;0.988464248585797;0.976606686640405;0.019712431420363;0.0293944684092483;0.578333633024263;0.0886468292349802;0.928815686282906;0.132907685083772;0.980200003941357;0.959548877558449;0.009999998;0.2689419;0.1192012;0.0179882;0.1192012;0.0179882;0.0003548861;0.04742557;0.002471209;4.172325e-07;0.00999999791383743;1;1;1;1
Erosion 0.02;90663548;43554180;90663548;0;2684355;40869825;4.94871357951361e+15;243373148391541;109709119087876;3.7054033406391e+15;1;0.938367454053779;0.971243542557137;1;0.979999996721745;0.985621771278569;0.95466398816312;0.971243542557137;0.961232644564461;0.961232644564461;0.985412021994218;0.976861759278789;0.953637416262919;0.0388497480702544;0.0576171002275382;0.547555123841789;0.157764694794957;0.874093776155473;0.22367823875967;0.960799993413686;0.920095098600574;0.02;0.2689418;0.1192017;0.01798677;0.1192017;0.01798677;0.0003551245;0.04742712;0.002476215;5.960464e-08;0.0200000032782555;1;1;1;1
Erosion 0.03;89321371;44896357;89321371;0;4026532;40869825;4.83243136928978e+15;359655358615372;164563658196900;3.65054880153008e+15;1;0.910314950498099;0.956865319192012;1;0.969999998807907;0.978432659596006;0.933299954823542;0.956865319192012;0.942690549207784;0.942690549207784;0.97795725623785;0.965191968689584;0.931080796003101;0.0574119214328654;0.0847213710329884;0.521700907211453;0.216577713405429;0.828166233321668;0.293354984632311;0.941799997325242;0.881617282271699;0.03;0.2689437;0.1192015;0.017986;0.1192015;0.017986;0.0003352165;0.04742277;0.002471387;9.536743e-07;0.0300000011920929;1;1;1;1
Erosion 0.04;87979194;46238534;87979194;0;5368709;40869825;4.71975203726461e+15;472334690640547;219418197305926;3.59569426242105e+15;1;0.883891020420327;0.942487095826887;1;0.96000000089407;0.971243547913444;0.912718949547679;0.942487095826887;0.924644360867517;0.924644360867517;0.970392130636713;0.953454280763486;0.908925788417347;0.0753989659808527;0.110754606007406;0.498945675157094;0.268743498851183;0.787940384280076;0.350068110831905;0.923200001072883;0.844094872888962;0.04;0.2689409;0.1192018;0.01798576;0.1192018;0.01798576;0.0003339052;0.04742682;0.002472997;3.015995e-05;0.0399999991059303;1;1;1;1
Erosion 0.05;86637017;47580711;86637017;0;6710886;40869825;4.61067558343809e+15;581411144467062;274272736414950;3.54083972331203e+15;1;0.858957845333585;0.928108872461763;1;0.950000002980232;0.964054436230881;0.892864153902898;0.928108872461763;0.907052113273447;0.907052113273447;0.962714176276546;0.941648101209805;0.88716176229;0.0928108817142163;0.135758771421002;0.478426844375884;0.3159936065706;0.751918655727479;0.397766203266949;0.905000004656613;0.807508223163141;0.05;0.2689418;0.1192029;0.01798695;0.1192029;0.01798695;0.0003569126;0.04742545;0.002472341;3.576279e-07;0.0499999970197678;1;1;1;1
Erosion 0.06;85294839;48922889;85294839;0;8053064;40869825;4.50520193056846e+15;686884797336696;329127316393800;3.48598514333318e+15;1;0.83539271362327;0.913730638384025;1;0.939999997615814;0.956865319192012;0.873684106253715;0.913730638384025;0.889876432806687;0.889876432806687;0.954920844195282;0.929772819908299;0.865778442560645;0.10964768096309;0.159771245772218;0.4596394291531;0.359343839942782;0.719204296857898;0.438768230686178;0.887199994963408;0.771838505173082;0.06030816;0.2694859;0.1199088;0.01839155;0.1195129;0.01811874;0.0003432035;0.04756409;0.002492368;1.072884e-06;0.0600000023841858;2;1;1.00513565540314;1
Erosion 0.07;83952662;50265066;83952662;0;9395241;40869825;4.40333123582361e+15;788755492081542;383981855502825;3.43113060422415e+15;1;0.813086070552459;0.8993524150189;1;0.929999999701977;0.94967620750945;0.855132107436963;0.8993524150189;0.873083974520986;0.873083974520986;0.94700952588617;0.917827846249585;0.844765957641276;0.125909338638702;0.182825363819692;0.442252117726036;0.39946211766785;0.68919663802324;0.474581634562612;0.869799998517334;0.737067784908975;0.07671618;0.2791174;0.1323949;0.02555299;0.1249896;0.02046722;0.0004903674;0.04999644;0.00282532;3.695488e-06;0.0700000002980232;2;1;1.09594523906708;1
Erosion 0.08;82610485;51607243;82610485;0;10737418;40869825;4.30506341927742e+15;887023308627730;438836394611850;3.37627606511513e+15;1;0.791939708928067;0.884974191653775;1;0.920000001788139;0.942487095826887;0.837165577258849;0.884974191653775;0.856644826489993;0.856644826489993;0.938977515524864;0.905812555945329;0.824114728542891;0.14159586749969;0.204951042797836;0.426031224786613;0.436820627041191;0.661463947767115;0.506252175406313;0.852800001907349;0.70317883360184;0.09310962;0.286319;0.1417298;0.03090024;0.1290846;0.02222311;0.0005996823;0.05181664;0.003074765;3.939867e-05;0.0799999982118607;2;1;1.16386783123016;1
Erosion 0.09;81268307;52949421;81268307;0;12079596;40869825;4.21039841174118e+15;981688316163972;493690974590700;3.32142148513628e+15;1;0.771865380737591;0.870595957576037;1;0.909999996423721;0.935297978788018;0.819745619239917;0.870595957576037;0.840532109396932;0.840532109396932;0.930822023911755;0.893726317230088;0.803815503370847;0.156707278590674;0.226175165617463;0.410803491477945;0.471770238103765;0.635680643818432;0.534539180457317;0.836199992914498;0.670155182917085;0.1095133;0.2919337;0.1490074;0.0350734;0.1322777;0.02359182;0.0006843209;0.05323398;0.003270268;7.987022e-06;0.0900000035762787;2;1;1.21681225299835;1
Erosion 0.1;79926130;54291598;79926130;0;13421773;40869825;4.11933635427666e+15;1.07275037362849e+15;548545513699725;3.26656694602725e+15;1;0.752783607511424;0.856217734210912;1;0.899999998509884;0.928108867105456;0.802836642645655;0.856217734210912;0.824721636637006;0.824721636637006;0.922540193890449;0.88156851800431;0.78385938770988;0.17124354939391;0.246521911266787;0.396435668122758;0.504581354529714;0.611592474588684;0.56001312055603;0.81999999627471;0.637981169972091;0.1259207;0.2964299;0.154835;0.03841597;0.1348339;0.02468824;0.0007528067;0.05436963;0.003424942;1.072884e-06;0.100000001490116;2;1;1.2592031955719;1
