Row;Volume Density;Surface Density;Mean Curvature Density;Mean Width;Mean Chord Length
Ground Truth;0.688347010759984;0.0681502071843696;-0.00306410387691304;-65326.2539269376;40.4017560150783
Erosion 0.01;0.678346481260159;0.0767700909400852;-0.00542830594611827;-115730.701984713;35.3443104184712
Erosion 0.02;0.668346265294701;0.0820363482752803;-0.00472115915714111;-100654.434156979;32.5878115906381
Erosion 0.03;0.658346221026634;0.083942113725841;-0.0025439608801457;-54236.8800512144;31.3714388073107
Erosion 0.04;0.648345915479928;0.0825466669337497;-0.000487993343276158;-10403.9478875729;31.4171820408098
Erosion 0.05;0.638345348654583;0.0777886991482362;-0.000141832063373155;-3023.83919054033;32.8245802099421
Erosion 0.06;0.628344901270902;0.073165198846846;-0.00318533160407174;-67910.8116330337;34.3521188310411
Erosion 0.07;0.618343326656519;0.0819508422646977;-0.00575910477732541;-122783.285485225;30.1811822584713
Erosion 0.08;0.608342617994199;0.0875328093232757;-0.00500938354730857;-106799.336698268;27.7995244387722
Erosion 0.09;0.598340311799626;0.0898341078943549;-0.00249525045792133;-53198.3808557095;26.6420105157954
Erosion 0.1;0.588339229882107;0.0889255203568595;0.000188264002417932;4013.76145238448;26.4643592759915
Erosion 0.11;0.578338088243755;0.0847674152263929;0.00146096423980473;31147.5474531921;27.2905850295969
Erosion 0.12;0.568336961535611;0.0773858152718454;-0.00021698918443727;-4626.1782013177;29.3768029471098
Erosion 0.13;0.558333908830641;0.0819734097091352;-0.00726724550341563;-154936.62884034;27.2446350987115
Erosion 0.14;0.548331124869414;0.0924942863727436;-0.0108767181971026;-231890.067497157;23.7130809425217
Erosion 0.15;0.538328311047771;0.0998522507102042;-0.00984372278565506;-209866.75390716;21.5649945682299
Dilation 0.01;0.698347047562947;0.074827233274857;-0.00208716019560292;-44497.9551612056;37.3311703239254
Dilation 0.02;0.708346838017478;0.0778007726518441;-0.00391775223175593;-83525.9140667107;36.4184988849562
Dilation 0.03;0.718347994586038;0.0770922570171156;-0.00650624448824757;-138712.1966564;37.272121604978
Dilation 0.04;0.728346836972364;0.0727133657653314;-0.00784845630499136;-167327.959530822;40.0667376241647
Dilation 0.05;0.738347373937293;0.0646250415899023;-0.00587703876011667;-125297.621035167;45.7003883183673
Dilation 0.06;0.748347022554849;0.0634011494345734;-0.00181162062611082;-38623.4911721799;47.2134672149503
Dilation 0.07;0.758346865265108;0.0682937301535731;-0.00275958250399559;-58833.9020575138;44.4167781469721
Dilation 0.08;0.76834767097378;0.0688695481077504;-0.0058311894042669;-124320.119363244;44.6262647039098
Dilation 0.09;0.778349768145441;0.0651341524975418;-0.00814674944466865;-173687.52636341;47.7997940128148
Dilation 0.1;0.788349894529652;0.0570753957560618;-0.0067723402517093;-144385.320059219;55.2497190137081
Dilation 0.11;0.798351073493523;0.0546003606290574;-0.000407509758627546;-8688.04943931201;58.4868718298285
Dilation 0.12;0.808351968783443;0.0620872093285378;-0.000209621588767892;-4469.10212137302;52.0784862148341
Dilation 0.13;0.818352774492116;0.0643273704865115;-0.00508972793761596;-108512.267543195;50.8867543195295
Dilation 0.14;0.828354587989826;0.0612946567046841;-0.0102926873248395;-219438.61330525;54.0572136315773
Dilation 0.15;0.83835603569744;0.0530451701781627;-0.0110748758731883;-236114.76064907;63.2182747557718
Fuzzy Edge 0.01;0.688347272038624;0.0774437417042222;-0.00384243318364019;-81920.1227944837;35.5534098374327
Fuzzy Edge 0.02;0.688346600179266;0.0864681339556163;-0.00477056039675246;-101707.661479809;31.8427873340063
Fuzzy Edge 0.03;0.688346786806865;0.0952241586835909;-0.0058285616836016;-124264.096736621;28.9147962585458
Fuzzy Edge 0.04;0.688347242178208;0.103789912447271;-0.00705453154951776;-150401.59793919;26.5284833929468
Fuzzy Edge 0.05;0.688346361295938;0.112093865142352;-0.00838493032438196;-178765.508459882;24.5632126404699
Fuzzy Edge 0.06;0.688346406086562;0.12419868912553;-0.00613877180163533;-130877.731833677;22.169200365419
Fuzzy Edge 0.07;0.688345480413669;0.142583657263137;-0.00885989357769428;-188891.656703623;19.3106417278478
Fuzzy Edge 0.08;0.68834415162516;0.159054554428955;-0.0121311905924132;-258635.238526723;17.3108944687936
Fuzzy Edge 0.09;0.688346197063651;0.173661969910444;-0.0156540554494349;-333742.210563172;15.8548517540974
Fuzzy Edge 0.1;0.688344039648601;0.186377747383527;-0.0193559543584981;-412666.162837581;14.7730949496268
