Row;Volume Density;Surface Density;Mean Curvature Density;Mean Width;Mean Chord Length
Ground Truth;0.697902485690758;0.0691412548197114;-0.00231184017545111;-49288.1000144698;40.3754596303215
Erosion 0.01;0.687900052589418;0.0775854966312624;-0.00465229364867886;-99186.2314219118;35.4653940469711
Erosion 0.02;0.677897574697454;0.0827534537127594;-0.00400710199542456;-85430.8381764016;32.7670952345005
Erosion 0.03;0.667895731339328;0.0846046052614822;-0.0018999062015796;-40505.7269425186;31.5772754580016
Erosion 0.04;0.657893245982261;0.0831621916061833;0.000156504240304698;3336.64789233166;31.6438628312121
Erosion 0.05;0.647890753160089;0.0784348921223717;0.00063115662913454;13456.1685500204;33.0409457132557
Erosion 0.06;0.637888178221773;0.0731021111779967;-0.00210965918941682;-44977.6304731498;34.9039538225415
Erosion 0.07;0.627885536097522;0.081806227455643;-0.00475505521306603;-101377.09319382;30.7011119141498
Erosion 0.08;0.617882595369111;0.0872590801109522;-0.00408188989204162;-87025.3053750755;28.3240480914287
Erosion 0.09;0.607879400827165;0.0895107549523223;-0.00166040946709633;-35399.691011619;27.1645301685122
Erosion 0.1;0.597876751237809;0.0885503387811227;0.00097387878507322;20762.9556188039;27.0073162663163
Erosion 0.11;0.58787270567401;0.0843391021444908;0.0022944016066842;48916.3122366556;27.8813831651591
Erosion 0.12;0.577869443946128;0.0769052472407192;0.000742362317989402;15827.05784101;30.0561776825112
Erosion 0.13;0.567866137427622;0.0811076920161393;-0.00599660277634466;-127846.708663522;28.0055379859471
Erosion 0.14;0.557863569954411;0.0912534656137905;-0.00930940110194046;-198475.092465129;24.4533647550633
Erosion 0.15;0.547858964507813;0.0982058665937929;-0.00805131868897594;-171652.956378432;22.3147143245082
Dilation 0.01;0.707904784420226;0.0760367977536323;-0.00128769274002084;-27453.424000502;37.2401155931851
Dilation 0.02;0.717908001357484;0.0793016192904832;-0.00311210197192902;-66349.5664088178;36.2115178873094
Dilation 0.03;0.727910486714552;0.0789786238304713;-0.00579732162342102;-123598.06314702;36.86620259563
Dilation 0.04;0.737911792585191;0.0750251190645557;-0.00739643733998522;-157690.98021355;39.3421191081484
Dilation 0.05;0.747914203291219;0.0674466926842603;-0.00596148311618347;-127097.962560362;44.3558711940078
Dilation 0.06;0.757917017112863;0.0643038110288497;-0.00157311738264328;-33538.6363268359;47.1460092325057
Dilation 0.07;0.767919435283995;0.069992431684059;-0.00198608162977113;-42342.9746764218;43.8858554736507
Dilation 0.08;0.777922316291573;0.0714728434587594;-0.00500832886051388;-106776.850927507;43.5366653204692
Dilation 0.09;0.787925936344446;0.0687559522497515;-0.00786475500424775;-167675.445454626;45.8389949124612
Dilation 0.1;0.797927779702572;0.0618555962025273;-0.00782430721375652;-166813.104379207;51.5993914012243
Dilation 0.11;0.807930936918998;0.0529944283785697;-0.00216124140319618;-46077.3558515395;60.9823305308613
Dilation 0.12;0.817933683554705;0.0622798548428942;0.000720930250102545;15370.1292363679;52.5327931876532
Dilation 0.13;0.827935915098238;0.0664710192809793;-0.00298363425156187;-63610.6530888902;49.8223691499885
Dilation 0.14;0.83793960980215;0.0655534469457457;-0.00877145110943107;-187006.076001474;51.1301631778819
Dilation 0.15;0.847942027973282;0.0595840115996728;-0.0121956121925761;-260008.697776043;56.9241315049649
Fuzzy Edge 0.01;0.697901992993895;0.0784167672273724;-0.00301294557534011;-64235.5662958149;35.5996309294568
Fuzzy Edge 0.02;0.697902970922517;0.0874790860685495;-0.00387193534997908;-82549.1047373514;31.9117632470752
Fuzzy Edge 0.03;0.697903075433972;0.0963069373367155;-0.00481000165482124;-102548.543428758;28.986616945108
Fuzzy Edge 0.04;0.69790309036418;0.104892102477268;-0.00587165936350658;-125182.933073191;26.6141329568803
Fuzzy Edge 0.05;0.69790177650588;0.113235575411906;-0.00704292918940511;-150154.237290427;24.6530924214299
Fuzzy Edge 0.06;0.697902291598055;0.124437655993718;-0.00541955306060814;-115544.091724618;22.4337974232909
Fuzzy Edge 0.07;0.697902739504293;0.142984652500977;-0.00759200049337666;-161860.358514808;19.5238503516879
Fuzzy Edge 0.08;0.69790177650588;0.159672507711101;-0.0102148126361341;-217778.336143245;17.4833297606526
Fuzzy Edge 0.09;0.697903135154804;0.17452902897469;-0.013181298871196;-281023.39598686;15.9951187319334
Fuzzy Edge 0.1;0.697903418828756;0.187503535897234;-0.0163656734966055;-348913.804972463;14.888325502539
Fuzzy Edge 0.11;0.697901074786106;0.199250962864272;-0.0182088732466054;-388210.558523738;14.0104933949355
Fuzzy Edge 0.12;0.697901970598583;0.214713092809561;-0.00801092392296996;-170791.745777412;13.0015726841136
Fuzzy Edge 0.13;0.697900470112684;0.231782838059258;-0.00928242667538449;-197900.001570852;12.0440404640184
Fuzzy Edge 0.14;0.697900903088714;0.249078850266261;-0.0170161978228266;-362782.890038593;11.2077103671013
Fuzzy Edge 0.15;0.697899342881983;0.264319546109745;-0.0249954396003705;-532899.177032558;10.5614488698042
FN Cluster 0.01;0.687967955175216;0.0758038067614517;-0.00376602288741938;-80291.0662696175;36.3025544265973
FN Cluster 0.02;0.677989402941506;0.0818711471146887;-0.00487644839510723;-103965.178374213;33.1247051903035
FN Cluster 0.03;0.668004848764197;0.0878429077013628;-0.00593104562193043;-126449.039560898;30.4181574241689
FN Cluster 0.04;0.658013344575083;0.0946931972345152;-0.0083095443441803;-177158.29020521;27.7955909734661
FN Cluster 0.05;0.648020966968804;0.100889671255542;-0.0089915726940316;-191699.03652372;25.6922620087617
FN Cluster 0.06;0.638028231037533;0.105461477458894;-0.00816293360085426;-174032.570245421;24.1994800911535
FN Cluster 0.07;0.628028119583531;0.109555346229479;-0.00775201162417109;-165271.772807963;22.9300765758355
FN Cluster 0.08;0.618025611831151;0.112514763540429;-0.00730279496081516;-155694.538158802;21.9713606422532
FN Cluster 0.09;0.60803280124884;0.115066497884422;-0.0069717396530746;-148636.486615488;21.1367448363494
FN Cluster 0.1;0.598038975412389;0.117381499552934;-0.0066481441868647;-141737.477820613;20.3793264761522
FN Cluster 0.11;0.588032533550212;0.119750467441999;-0.00644426222158507;-137390.743646445;19.6419286241208
FN Cluster 0.12;0.578037595413267;0.121569351145018;-0.00616307033506027;-131395.773071289;19.0191883058992
FN Cluster 0.13;0.568033542384363;0.123396041154335;-0.00599741051425327;-127863.929519552;18.4133473674057
FN Cluster 0.14;0.558030825609072;0.125026824265467;-0.00580215839464604;-123701.182413835;17.8531552372863
FN Cluster 0.15;0.548041165300641;0.12626951479291;-0.00555818869635726;-118499.783537976;17.3609969500386
FP Cluster 0.01;0.707883411827533;0.0738646156586101;-0.00162461785759914;-34636.6190452656;38.334101139807
FP Cluster 0.02;0.717877760221263;0.0777994511999287;-0.00117567644925412;-25065.2527933453;36.9091426301435
FP Cluster 0.03;0.727873191055071;0.0813254418095029;-0.000876534152150501;-18687.582046567;35.8005157972603
FP Cluster 0.04;0.737869898421658;0.084702859236209;-0.000568351098597607;-12117.1636726776;34.8450999210771
FP Cluster 0.05;0.747863821304462;0.0876320261020392;-0.00043719432075775;-9320.92003421536;34.1365527910376
FP Cluster 0.06;0.757863880502736;0.0906967429596346;-0.000206879055484751;-4410.63170625183;33.4240836339638
FP Cluster 0.07;0.767865574558782;0.0935309759774559;-7.19282350985078e-05;-1533.4996264211;32.8389847976723
FP Cluster 0.08;0.777859698999393;0.096175247042738;4.0270056617929e-05;858.551814805083;32.3517629709329
FP Cluster 0.09;0.787862333658541;0.0988092691076126;0.000164045847437869;3497.43387165527;31.8942682513109
FP Cluster 0.1;0.797863512622412;0.101978194930968;0.000484929591620992;10338.629142963;31.295455392695
FP Cluster 0.11;0.807861160592101;0.103875954072872;0.00038303533046886;8166.2581512759;31.1086879654694
FP Cluster 0.12;0.81786184685911;0.106672075910136;0.000481312361776794;10261.510322973;30.6682640187147
FP Cluster 0.13;0.82786728093225;0.108267609916833;0.000461339734189234;9835.69677559174;30.5859631174342
FP Cluster 0.14;0.837866727991998;0.11171485798979;0.00101035228621148;21540.5654168644;30.0001895206661
FP Cluster 0.15;0.847868660931372;0.112994213508791;0.000481252280159645;10260.2293915373;30.0145869280432
Uniform 0.01;0.693932117883517;0.0960820381450516;-0.0202850041623967;-432473.37102577;28.8891506167225
Uniform 0.02;0.689979718581555;0.122476376353295;-0.0370931140437543;-790819.856082809;22.5342956454311
Uniform 0.03;0.686022899938037;0.148292322201912;-0.0528180645198486;-1126073.53841709;18.5046100769522
Uniform 0.04;0.682084318543541;0.173579002346068;-0.0674850359131789;-1438771.25888247;15.7181297121101
Uniform 0.05;0.678107060445328;0.198362603640565;-0.0812146621109957;-1731484.9146036;13.6740907408952
Uniform 0.06;0.674130556322616;0.222561721740849;-0.0940263422994089;-2004628.09343805;12.1158400653923
Uniform 0.07;0.670211414058883;0.24626081813437;-0.105611923397048;-2251631.01601456;10.886204620553
Uniform 0.08;0.666256991713742;0.269333658532515;-0.116346330689844;-2480487.03550133;9.8948938702113
Uniform 0.09;0.662279950103544;0.291909420456869;-0.126232941616928;-2691268.1584149;9.07514322856736
Uniform 0.1;0.658338196039856;0.313999077168235;-0.135130710177533;-2880967.3043064;8.38649848244148
Uniform 0.11;0.654333287196502;0.335462369071954;-0.143250295351538;-3054075.69232644;7.80216617448562
Uniform 0.12;0.650406754479829;0.356383894461417;-0.150331979619675;-3205056.18232106;7.30006899400157
Uniform 0.13;0.646438282809;0.376797831597656;-0.156651420715763;-3339785.75752569;6.86244164482629
Uniform 0.14;0.64249076568504;0.396666921128697;-0.162163421668062;-3457300.82500383;6.47889432127955
Uniform 0.15;0.63850572894848;0.415998426585218;-0.166914137564979;-3558585.40460149;6.13950138407729
Inhomogen Random 0.01;0.69403162025446;0.0959774369842171;-0.0196502678021501;-418940.883123334;28.9247824097903
Inhomogen Random 0.02;0.690154894711539;0.122089245328326;-0.0356097813068628;-759195.415489125;22.6114885993621
Inhomogen Random 0.03;0.686261417475287;0.14744129248917;-0.0502582960242596;-1071499.64227833;18.6178893548616
Inhomogen Random 0.04;0.682384191770399;0.172154511383496;-0.0636247701835302;-1356470.94877205;15.8551567725182
Inhomogen Random 0.05;0.678514057914292;0.196107396837725;-0.0755532468591246;-1610784.35574978;13.8396423358931
Inhomogen Random 0.06;0.674650672512181;0.219294714017755;-0.0863920160882145;-1841865.35670734;12.3058264406238
Inhomogen Random 0.07;0.670753417933316;0.241778945236945;-0.0960938255556849;-2048706.53908306;11.0969698751225
Inhomogen Random 0.08;0.666929657303129;0.263499676426775;-0.104537073227142;-2228715.36499445;10.1241818031373
Inhomogen Random 0.09;0.663012612733615;0.284606570791142;-0.112071378857151;-2389345.67732086;9.31830366235875
Inhomogen Random 0.1;0.659117455848968;0.304946728292616;-0.118448443179968;-2525303.77143105;8.64567342026378
Inhomogen Random 0.11;0.655220567060197;0.324559818354533;-0.12385667380118;-2640606.47037632;8.07519021155561
Inhomogen Random 0.12;0.651348641579135;0.343347986115125;-0.128186014880908;-2732907.39948046;7.58820401364739
Inhomogen Random 0.13;0.647522148720891;0.361502199272001;-0.131699966656122;-2807824.34589477;7.1647934648794
Inhomogen Random 0.14;0.643624782165466;0.378836898015189;-0.134195635241922;-2861031.64117673;6.79579825025028
Inhomogen Random 0.15;0.639746780089764;0.39556555643916;-0.136066204876162;-2900911.91672322;6.46918590029625
