Row;Volume Density;Surface Density;Mean Curvature Density;Mean Width;Mean Chord Length
Ground Truth;0.509833956902178;0.0686434649410705;-0.000809490843867363;-17258.2283572206;29.7091038361693
Erosion 0.01;0.499832680891955;0.0767147941524696;-0.00303274686785941;-64657.7270041851;26.0618664972779
Erosion 0.02;0.489831770671827;0.0814263797707583;-0.0023135282822288;-49324.0902081596;24.0625591878633
Erosion 0.03;0.479831696543344;0.082774972491909;-0.000224404657950619;-4784.27503000928;23.1872838901998
Erosion 0.04;0.469829868115426;0.0807606224992409;0.00163638936125368;34887.5858100129;23.2702450068332
Erosion 0.05;0.459829413266641;0.0753949411532562;0.00172810445067085;36842.9383244432;24.3957701263771
Erosion 0.06;0.449827801326739;0.07178167719578;-0.0015056523518972;-32100.2915752385;25.0664414039734
Erosion 0.07;0.439825629504038;0.0797415069344198;-0.00344532090360133;-73453.7461031494;22.0625692396686
Erosion 0.08;0.429824062354759;0.0843364355861851;-0.00226102912410333;-48204.8157082003;20.3861621311
Erosion 0.09;0.419820972324269;0.0855385911091397;0.000365508425266627;7792.58705336653;19.6318862343016
Erosion 0.1;0.409820129290077;0.0833531577164347;0.00271733857098298;57933.2674818888;19.6666876465208
Erosion 0.11;0.39981789028144;0.0778019970410845;0.0031314064468522;66761.135037499;20.5556620902834
Erosion 0.12;0.389815912551443;0.0692058876690819;-0.000173147156574188;-3691.47247334448;22.5307947448289
Erosion 0.13;0.379813852705302;0.0809593737116398;-0.00665657867328101;-141917.299857825;18.7656517234493
Erosion 0.14;0.369811120999803;0.089269165891039;-0.00729386387515664;-155504.128697175;16.5706094510255
Erosion 0.15;0.359809105944285;0.0941056262602826;-0.00406711438510961;-86710.2936925368;15.293840346978
Dilation 0.01;0.519836113794671;0.0761156227596305;0.000797830020466731;17009.6212795669;27.3182348089715
Dilation 0.02;0.52983822589654;0.0800710187227745;-0.000506600215662541;-10800.6437305101;26.4684143825356
Dilation 0.03;0.539840375323929;0.0805178035546509;-0.00291064376142891;-62054.5063379252;26.8184352523981
Dilation 0.04;0.549843383238275;0.0774582314093165;-0.00462366111775589;-98575.7899810266;28.3943164326957
Dilation 0.05;0.559844913062034;0.0708729963347955;-0.00384800301547866;-82038.8708081369;31.5970788319655
Dilation 0.06;0.569847868720652;0.0678268845200553;0.000177990019033396;3794.72160439619;33.6060175992402
Dilation 0.07;0.579851040867286;0.0746759129834343;0.00086479368961359;18437.2770739828;31.0596023644688
Dilation 0.08;0.589853697921746;0.0777391744285731;-0.00138358073859486;-29497.7423379413;30.3503968112604
Dilation 0.09;0.59985763897409;0.0770189106971333;-0.00436046612206932;-92964.5105299389;31.1537846248151
Dilation 0.1;0.609860176586885;0.0724863314163678;-0.00587205608728279;-125191.391167037;33.6538028436724
Dilation 0.11;0.619863214361648;0.0642037652591061;-0.00372814891628614;-79483.5986527024;38.6184960872669
Dilation 0.12;0.629866050578603;0.0669028795697266;0.00276986458544147;59053.114555005;37.6585315687139
Dilation 0.13;0.639870417141873;0.075324426950326;0.00377976867722562;80584.1245311453;33.9794376431883
Dilation 0.14;0.64987404465985;0.0796095356092631;3.36193946436607e-05;716.760658119173;32.6530755234921
Dilation 0.15;0.65987794092157;0.0797041891355409;-0.00546834614631447;-116584.353293669;33.1163492448014
Fuzzy Edge 0.01;0.509834740738096;0.078014873659483;-0.00112676447464415;-24022.4565299701;26.1403866633641
Fuzzy Edge 0.02;0.509834964691215;0.0871747298907083;-0.00149465003381564;-31865.7237362705;23.3937043604448
Fuzzy Edge 0.03;0.50983547978339;0.0960914253726417;-0.00190759291062365;-40669.6064737113;21.2229333806321
Fuzzy Edge 0.04;0.509837293803657;0.104798818065159;-0.00237408142073764;-50615.0744114388;19.4596581609028
Fuzzy Edge 0.05;0.509837555082296;0.113257716941438;-0.00287083158717027;-61205.7165091601;18.0062805025787
Fuzzy Edge 0.06;0.509838891335909;0.124978357748823;-0.00236909091881351;-50508.6776282308;16.3176697316047
Fuzzy Edge 0.07;0.509839286986419;0.14364227281887;-0.00320387306071351;-68306.1128217047;14.1974720110233
Fuzzy Edge 0.08;0.509840108147857;0.160508062470392;-0.00425334316802808;-90680.6645579309;12.7056572810329
Fuzzy Edge 0.09;0.509840690425968;0.175559020829605;-0.00541363703648247;-115417.962941197;11.6163940312884
Fuzzy Edge 0.1;0.509840548588992;0.188878725758822;-0.00666589262044949;-142115.871871775;10.7972043233711
Fuzzy Edge 0.11;0.5098403768916;0.200397032672417;-0.00799691689974929;-170493.118057063;10.1766053138126
Fuzzy Edge 0.12;0.509841750470733;0.213887706938002;-0.000818181848446943;-17443.5193247768;9.5347555550449
Fuzzy Edge 0.13;0.509841377215534;0.233934804156519;-0.00354164425288977;-75507.3460552011;8.71766608741833
Fuzzy Edge 0.14;0.509842631353002;0.252084701355248;-0.0063969207870097;-136381.431070707;8.0900209907544
Fuzzy Edge 0.15;0.509844669326389;0.268321541298535;-0.00952867113304992;-203149.897989429;7.60050299143346
FN Cluster 0.01;0.499917044032027;0.075226542605515;-0.00210343122086086;-44844.8510793437;26.5819497595987
FN Cluster 0.02;0.48994853236317;0.0807637684195356;-0.00285846892529397;-60942.1463361548;24.2657588644494
FN Cluster 0.03;0.479971906126288;0.0864015917162223;-0.0040978691686114;-87365.981253146;22.220512219391
FN Cluster 0.04;0.469980685611125;0.09319507928271;-0.0053755513107498;-114605.98074668;20.1719099003253
FN Cluster 0.05;0.459991294046437;0.0982798366811706;-0.0048827047290424;-104098.562513824;18.7216955005204
FN Cluster 0.06;0.449995400376183;0.102897336004618;-0.00459010674807456;-97860.4156457512;17.4929854493411
FN Cluster 0.07;0.440000021798104;0.10652307291859;-0.00425325665837364;-90678.8201845416;16.5222429185598
FN Cluster 0.08;0.430007218680897;0.109798106863974;-0.00415218387319037;-88523.9629423527;15.6653782460428
FN Cluster 0.09;0.420009249711737;0.112455665725412;-0.0038554337665408;-82197.2933519711;14.9395496261538
FN Cluster 0.1;0.410007682562458;0.114773809092965;-0.00355643607556416;-75822.7055870205;14.2892419726302
