Row;Volume Density;Surface Density;Mean Curvature Density;Mean Width;Mean Chord Length
Ground Truth;0.0995284465513523;0.0196029368970177;0.00108582383120553;23149.6079006024;20.3088847501201
Erosion 0.01;0.0895262597984435;0.0217836185302819;0.00196519899409295;41897.7598874406;16.4391897836424
Erosion 0.02;0.0795241327663666;0.0201398219934568;0.00067131069079569;14312.2473690312;15.7944062846639
Erosion 0.03;0.0695219534785619;0.0161194090791314;0.00144520120787838;30811.481879816;17.2517374892028
Erosion 0.04;0.0595198637720049;0.0194214774881404;0.00225653846988512;48109.0756061864;12.2585655614204
Erosion 0.05;0.0495176844842002;0.0141298123943541;0.000731389130416909;15593.1110603053;14.0179311946098
Erosion 0.06;0.0395166921479282;0.0132559918546847;0.000105605958443364;2251.50384405999;11.9241751446801
Erosion 0.07;0.0295145725809553;0.00980724853793905;0.000333816735556262;7116.92478715159;12.0378605545802
Erosion 0.08;0.0195119229915998;0.00832623777640899;0.00088199760297812;18804.0620323702;9.37370443437664
Erosion 0.09;0.00951155025895811;0.0052446417047136;0.000524707492150847;11186.6882607602;7.25429937409043
Erosion 0.1;1;0;0;0;Inf
Erosion 0.11;1;0;0;0;Inf
Erosion 0.12;1;0;0;0;Inf
Erosion 0.13;1;0;0;0;Inf
Erosion 0.14;1;0;0;0;Inf
Erosion 0.15;1;0;0;0;Inf
Dilation 0.01;0.10953158883757;0.0244928177295626;0.00100939395314624;21520.1338937563;17.887952304543
Dilation 0.02;0.119534611682125;0.024391837762087;0.00223703225007183;47693.2058054662;19.6023953337245
Dilation 0.03;0.129538306386037;0.0272232465120107;0.000606404223718192;12928.4508268341;19.0334839496658
Dilation 0.04;0.139542792390972;0.0273551987064539;0.00362930306740244;77376.2193721063;20.4045737540996
Dilation 0.05;0.149547987580784;0.0338884644789544;0.00212957980704246;45402.3351756239;17.6517868106603
Dilation 0.06;0.159552697538838;0.0307569832782799;-0.00132159642096582;-28176.2456016745;20.7501101255937
Dilation 0.07;0.169556377312543;0.0297618416856245;0.00212877062593194;45385.0835507369;22.7884254077517
Dilation 0.08;0.179559325506057;0.0313080886858027;0.000488018628028104;10404.4869548476;22.940950156115
Dilation 0.09;0.1895623259553;0.0310709063620704;0.00333237881263194;71045.8369688355;24.4038360189848
Dilation 0.1;0.199565311474334;0.0381868330280544;0.00278934969781279;59468.5343480984;20.9040965850948
Dilation 0.11;0.209567834156922;0.0370423163241958;-0.00128556767771812;-27408.1179778686;22.6301003773929
Dilation 0.12;0.219570125421287;0.0310923118116297;0.00199453219262042;42523.1394608723;28.2475136299333
Dilation 0.13;0.229573290102817;0.0387456977912795;0.00272504990573537;58097.6720296412;23.7005193546404
Dilation 0.14;0.239576342807787;0.0385866029085919;-0.000794216208044342;-16932.5753185184;24.8351836906007
Dilation 0.15;0.249578828164855;0.0313503922028042;0.00116358745341055;24807.5171407948;31.8437902212312
Fuzzy Edge 0.01;0.0995288198065512;0.0287081730795525;0.00212700778839049;45347.5001079131;13.8676633348628
Fuzzy Edge 0.02;0.0995289691086308;0.0411266868489746;0.00278260046610328;59324.6416988351;9.68023215428183
Fuzzy Edge 0.03;0.0995296558981969;0.0557865118525421;0.00673262718882731;143538.643270748;7.13646740712371
Fuzzy Edge 0.04;0.0995313131512804;0.0716244414905655;0.00526220699576435;112189.496254198;5.55851109369646
