Row;Volume Density;Surface Density;Mean Curvature Density;Mean Width;Mean Chord Length
Ground Truth;0.0990523072893299;0.0196497373339797;0.000759834878787153;16199.5703240325;20.1635890812732
Erosion 0.01;0.0890590040101568;0.0223193741953803;0.00150243664042539;32031.733069195;15.9608424914692
Erosion 0.02;0.0790646033606987;0.020951559789617;0.000172493076525615;3677.52758078925;15.0947431417265
Erosion 0.03;0.0690698667815616;0.0184680133097201;0.00162040570667083;34546.8165933337;14.9598910555709
Erosion 0.04;0.0590734206936131;0.0218355924703607;0.000766254989387442;16336.4461585868;10.821491704207
Erosion 0.05;0.0490770567218084;0.01471482664951;0.000837188190033062;17848.7317935942;13.3408453638678
Erosion 0.06;0.0390851120915596;0.0148943690000254;0.0013103711401037;27936.9242282952;10.4966144162248
Erosion 0.07;0.0290919207889462;0.0167528147362243;0.00171085052316183;36475.0870716892;6.9461571078062
Erosion 0.08;0.0190987070910209;0.0139343481153358;0.000450344888728196;9601.28825181845;5.48248312240781
Erosion 0.09;0.00910636681026118;0.0114378866741543;0.00131796120485716;28098.7433171134;3.18463264051688
Erosion 0.1;1;0;0;0;Inf
Erosion 0.11;1;0;0;0;Inf
Erosion 0.12;1;0;0;0;Inf
Erosion 0.13;1;0;0;0;Inf
Erosion 0.14;1;0;0;0;Inf
Erosion 0.15;1;0;0;0;Inf
Dilation 0.01;0.109046058474742;0.0242075114620735;0.000587251131921228;12520.1096646295;18.0185491012716
Dilation 0.02;0.119040451659096;0.0238815735383824;0.00184190603265087;39269.1716834779;19.9384603309785
Dilation 0.03;0.129035516702808;0.0260903117351374;9.358766342324e-05;1995.275522896;19.7829014866124
Dilation 0.04;0.139032619719907;0.0268439032467948;0.0033696125717282;71839.6553572078;20.7171987533531
Dilation 0.05;0.149030790246874;0.0319251358884889;0.000794273966553465;16933.8067216251;18.6725332374369
Dilation 0.06;0.159028774146243;0.0267584143665175;-0.00108941914480023;-23226.2594693053;23.7725258257804
Dilation 0.07;0.169024891769616;0.0286397488392338;0.0013698572370643;29205.1592592451;23.6070354832257
Dilation 0.08;0.179020255417488;0.0269810861655483;4.25393273031065e-06;90.693233940995;26.5401109976181
Dilation 0.09;0.189017395760106;0.0321572381681432;0.00343865403334519;73311.6093882252;23.5116454680312
