Row;Volume Density;Surface Density;Mean Curvature Density;Mean Width;Mean Chord Length
Ground Truth;0.0992512000546565;0.0199491658896928;0.00107470769293688;22912.6134316171;19.9008220400707
Erosion 0.01;0.0892579639614192;0.0224509428388021;0.00176687121614653;37669.4401883231;15.9027555505872
Erosion 0.02;0.0792648995655735;0.0207319880690952;0.000545621369195933;11632.5691111902;15.2932558713426
Erosion 0.03;0.0692710587989139;0.0179260446510428;0.00181732854101006;38745.1830968273;15.4570760359864
Erosion 0.04;0.0592764939171683;0.0208152662174339;0.00150495553975995;32085.4356406991;11.3909653228496
Erosion 0.05;0.0492824590578052;0.0144197580427193;0.000756710153277281;16132.9516256104;13.670814423322
Erosion 0.06;0.0392901859629813;0.0122634113415156;0.000798190033549963;17017.2967067185;12.8154181145246
Erosion 0.07;0.029296972265056;0.0127351867901847;0.00247954004140295;52863.4370352631;9.20189793765283
Erosion 0.08;0.0193027358478854;0.00954451608856354;0.00174096514943335;37117.1265722267;8.08956081954303
Erosion 0.09;0.00931046275306152;0.00672100366775799;0.000918456495681938;19581.3603807095;5.54111451997903
Erosion 0.1;1;0;0;0;Inf
Erosion 0.11;1;0;0;0;Inf
Erosion 0.12;1;0;0;0;Inf
Erosion 0.13;1;0;0;0;Inf
Erosion 0.14;1;0;0;0;Inf
Erosion 0.15;1;0;0;0;Inf
Dilation 0.01;0.109246377074928;0.024942911822082;0.00102645917107317;21883.9618853637;17.5194264172818
Dilation 0.02;0.119241651141552;0.0244011385888614;0.00214377732824504;45705.0242855463;19.5468995362345
Dilation 0.03;0.12923832118262;0.0277067827389065;0.000674072029217793;14371.1187070102;18.6580047781788
Dilation 0.04;0.139235498850758;0.0267997929775059;0.00319387165255558;68092.8842383416;20.781578270791
Dilation 0.05;0.149233146820448;0.0340032380433182;0.00243275606288837;51866.0093425589;17.5551689083649
Dilation 0.06;0.159231362138039;0.0316137659439878;-0.00147124224702138;-31366.6730887023;20.1470919244686
Dilation 0.07;0.169228547271282;0.0292381538003828;0.00200645554852965;42777.3436938477;23.1517418543801
Dilation 0.08;0.179225075475374;0.0315929556940047;0.000516591481084185;11013.6560721946;22.6917768899204
Dilation 0.09;0.189221962004457;0.0297563995423748;0.0026276878927574;56021.9279171262;25.4361367523641
Dilation 0.1;0.199219609974146;0.0377828155295113;0.00311380243603059;66385.8200588752;21.0910285199408
Dilation 0.11;0.209216974269884;0.0375147382802816;-0.00123308390830088;-26289.1715629554;22.3077098613109
Dilation 0.12;0.219214219123959;0.0292466667110245;0.000990278380934973;21112.5926437221;29.9814295133094
Dilation 0.13;0.229213449695691;0.0376452697949053;0.00276588961249932;58968.3687036232;24.3550864100022
Dilation 0.14;0.239213800033021;0.0381306023547664;-0.000675407547830379;-14399.5917717347;25.0941538040632
Dilation 0.15;0.249212642419347;0.0307316777222331;0.00066616051433416;14202.4463476529;32.437232314076
Fuzzy Edge 0.01;0.0992522675645256;0.0291290340088678;0.00198131067030305;42241.2585067986;13.6293249593255
Fuzzy Edge 0.02;0.0992528871681559;0.0412388075251445;0.00243910477841565;52001.3630444256;9.6271345487028
Fuzzy Edge 0.03;0.0992541562358324;0.0562995531998691;0.00600861201337711;128102.743869692;7.0518610251467
Fuzzy Edge 0.04;0.0992555223498607;0.0717624486503529;0.00398018810012069;84857.0377997138;5.53244902962895
Fuzzy Edge 0.05;0.0992575379279351;0.0869182997528524;0.0118422438286579;252474.935084444;4.56785455813879
Fuzzy Edge 0.06;0.099260150714328;0.100769354239182;0.0111635345879801;238004.951696105;3.94009275791242
Fuzzy Edge 0.07;0.0992627635007208;0.115257458885972;0.0100466227810721;214192.5526251;3.44490549974469
Fuzzy Edge 0.08;0.0992650478225385;0.130003683430293;0.0130191075258395;277565.499832834;3.05422262518474
Fuzzy Edge 0.09;0.0992668469125976;0.143803509102177;0.0137162476835394;292428.427721053;2.76118010005069
Fuzzy Edge 0.1;1;0;0;0;Inf
Fuzzy Edge 0.11;1;0;0;0;Inf
Fuzzy Edge 0.12;1;0;0;0;Inf
Fuzzy Edge 0.13;1;0;0;0;Inf
Fuzzy Edge 0.14;1;0;0;0;Inf
Fuzzy Edge 0.15;1;0;0;0;Inf
FN Cluster 0.01;0.089266802644531;0.0257217059112475;0.000208813095621164;4451.86516377532;13.8819412604351
FN Cluster 0.02;0.0792758284777995;0.028322157300706;0.000165192078947278;3521.87136256637;11.1962980271737
FN Cluster 0.03;0.0692826595704981;0.0303878750261602;0.000133997179289287;2856.80058881169;9.11977682030801
FN Cluster 0.04;0.0592877363637614;0.0322131581468476;7.49688977782587e-05;1598.32611739623;7.36192783004896
