Row;Volume Density;Surface Density;Mean Curvature Density;Mean Width;Mean Chord Length
Ground Truth;0.0996122274133145;0.0200897224243304;0.000805320359539684;17169.3142312209;19.8334701315088
Erosion 0.01;0.0896181402982236;0.0230195018978208;0.00140272644816844;29905.9261122052;15.5725594230529
Erosion 0.02;0.0796234559748143;0.0213694719738826;0.000147061923447182;3135.33905507574;14.9041503827757
Erosion 0.03;0.0696281893732946;0.0198478338624304;0.00179266778780517;38219.4193856063;14.0324006853146
Erosion 0.04;0.0596334154686375;0.0224517335603169;0.000302831792076907;6456.33024892616;10.6242870392937
Erosion 0.05;0.0496389252379317;0.0171671272152485;0.00217214116346707;46309.7371727356;11.5660412171561
Erosion 0.06;0.0396465327014441;0.0164718173020065;0.00161776296036749;34490.4736222687;9.6277252168441
Erosion 0.07;0.0296549240008744;0.0170327183927189;0.00131077383576541;27945.5096418806;6.96422574885081
Erosion 0.08;0.0196638303924793;0.01223851144408;0.000576634072674201;12293.7554885996;6.4268699612128
Erosion 0.09;0.00967379682884921;0.00892581211369384;0.00119797742563252;25540.7064020468;4.33520074392237
Erosion 0.1;1;0;0;0;Inf
Erosion 0.11;1;0;0;0;Inf
Erosion 0.12;1;0;0;0;Inf
Erosion 0.13;1;0;0;0;Inf
Erosion 0.14;1;0;0;0;Inf
Erosion 0.15;1;0;0;0;Inf
Dilation 0.01;0.109607553735666;0.0248605483470633;0.000701234671359189;14950.2223304954;17.6355810347383
Dilation 0.02;0.119604156590798;0.0240390358036812;0.00183454718928226;39112.2822013268;19.9016562174233
Dilation 0.03;0.129601595537576;0.0270259327137059;0.000313303391675114;6679.58324616555;19.1818128033523
Dilation 0.04;0.139599377879137;0.0264549938385026;0.00304855575809612;64994.770270142;21.1074519588001
Dilation 0.05;0.149598093358695;0.0327446515312422;0.00154482000000973;32935.3401992745;18.2745072997294
Dilation 0.06;0.159597256744492;0.0290932998592352;-0.00155989059929576;-33256.6432083561;21.942819483068
Dilation 0.07;0.169594538924086;0.0288019369054293;0.00167041991642658;35613.1123514758;23.5532130329911
Dilation 0.08;0.179591395592753;0.0291125346935862;-1.56695172160372e-05;-334.071853203173;24.6754736381397
Dilation 0.09;0.189589185399418;0.0310902551948024;0.00352424513146476;75136.3992890421;24.3921041125598
Dilation 0.1;0.199586333207141;0.0361325858262498;0.00111154799052373;23698.0432772028;22.0948851174824
Dilation 0.11;0.209584332036717;0.0323072567078154;-0.00175992015738198;-37521.2446152764;25.94888621243
Dilation 0.12;0.219582622005348;0.0321872269460439;0.00278752616324878;59429.6568534838;27.2881689837325
Dilation 0.13;0.229582181041656;0.0360121321474734;0.000452937378781112;9656.55976685289;25.5005374412705
Dilation 0.14;0.239580582986847;0.0312985816994489;-0.000911959761881244;-19442.8509505438;30.6187143286516
Dilation 0.15;0.249580253999715;0.0343369401989623;0.0025007606156217;53315.8566253215;29.0742567687796
Fuzzy Edge 0.01;0.0996133397138075;0.0293233269363888;0.00148637674020044;31689.338306393;13.588272562646
Fuzzy Edge 0.02;0.0996142131309731;0.0413262887628665;0.00177665617416164;37878.0540857749;9.641728411914
Fuzzy Edge 0.03;0.0996149895017869;0.0566274332562101;0.00444535118859846;94774.2479388006;7.03651808133914
Fuzzy Edge 0.04;0.0996163332205033;0.0721085952075283;0.00266924538919512;56907.9277637088;5.52590619377941
Fuzzy Edge 0.05;0.0996177441251554;0.0873328868929485;0.00961640629941091;205020.399116759;4.56266809305253
Fuzzy Edge 0.06;0.0996234101390759;0.101204708014838;0.00730264342311085;155691.307396743;3.937501015248
Fuzzy Edge 0.07;0.0996246344161285;0.116238896552324;0.00712906517762913;151990.644169896;3.42827185635863
