Row;Volume Density;Surface Density;Mean Curvature Density;Mean Width;Mean Chord Length
Ground Truth;0.0993887222001674;0.019828897300829;0.00131408540279911;28016.111774716;20.0492686390609
Erosion 0.01;0.0893904546268479;0.0220310058521732;0.00201790475801505;43021.4391932665;16.2299361593661
Erosion 0.02;0.0793926349597672;0.0202826849411399;0.000830977022737406;17716.3106002411;15.6572239208297
Erosion 0.03;0.069394651060399;0.0165450890713619;0.00169010018667757;36032.6928824929;16.7770994187067
Erosion 0.04;0.0593962640454158;0.0194655013371871;0.00223085915662521;47561.5963410981;12.2054424423058
Erosion 0.05;0.049398481703855;0.01428405656709;0.000861018554725089;18356.7917411607;13.8331800834974
Erosion 0.06;0.0394017743372673;0.0133807023358719;0.000263467417788816;5617.08745112337;11.7786864540395
Erosion 0.07;0.0294050893659915;0.00987790036357713;0.00050814029169877;10833.4779300839;11.9074249723826
Erosion 0.08;0.0194083148134679;0.00853842131056221;0.000908569044859606;19370.5613513501;9.09222635311256
Erosion 0.09;0.00941448151191229;0.00532959985527537;0.000583568429893913;12441.5949871127;7.06580739084463
Erosion 0.1;1;0;0;0;Inf
Erosion 0.11;1;0;0;0;Inf
Erosion 0.12;1;0;0;0;Inf
Erosion 0.13;1;0;0;0;Inf
Erosion 0.14;1;0;0;0;Inf
Erosion 0.15;1;0;0;0;Inf
Dilation 0.01;0.109387654167741;0.0250589829452226;0.0013435615097919;28644.5381360732;17.4608290219688
Dilation 0.02;0.119387616319664;0.0247392282056797;0.00248028025219322;52879.2182228427;19.3033695840607
Dilation 0.03;0.12938795919189;0.0285015109520735;0.00111670233539931;23807.9331685693;18.1587508689572
Dilation 0.04;0.139389377039088;0.0270356234872361;0.00326284972077433;69563.4867312268;20.6230682425202
Dilation 0.05;0.149390809816495;0.0352866162536542;0.00353964618238646;75464.7474794653;16.9345577079553
Dilation 0.06;0.159392287384526;0.0343712765996707;-0.000930373045693843;-19835.4195129329;18.5494753937715
Dilation 0.07;0.169393944115052;0.0294540380415082;0.0021647203620211;46151.526753287;23.0045121658814
Dilation 0.08;0.17939515293934;0.0340775965620124;0.00151307142050153;32258.4650507526;21.0572541538118
Dilation 0.09;0.189396130345404;0.0305354587678476;0.000875768011233163;18671.2480324081;24.8099931015058
Dilation 0.1;0.199398123005609;0.0385464930270178;0.00498188263417315;106213.021185845;20.6917005773623
Dilation 0.11;0.209400085805398;0.0422995337713174;0.00136754074518499;29155.7719855734;19.8016448065334
Dilation 0.12;0.219401600698949;0.038419389100074;-0.00154730979793412;-32988.4223328997;22.8427995174474
Dilation 0.13;0.229404384660176;0.0362802261645808;0.00338276119774923;72119.9821727287;25.2924977500979
Dilation 0.14;0.239408042038568;0.0426649831255777;0.00269467181771182;57450.0155624457;22.4453895911697
Dilation 0.15;0.249411430673218;0.0419178686580699;-0.000729634532371241;-15555.7032823462;23.800010702615
Fuzzy Edge 0.01;0.0993891999668221;0.0290123422124028;0.00240066308875839;51181.7917502369;13.7030232497855
Fuzzy Edge 0.02;0.0993903570579389;0.0412443732213265;0.00294495715000922;62786.0628469525;9.63916765320575
Fuzzy Edge 0.03;0.099391424567808;0.056199881082645;0.00733181979089152;156313.343361211;7.07413771368288
