Row;Number of Positives;Number of Negatives;Number of True Positives;Number of False Positives;Number of False Negatives;Number of True Negatives;Pair counting cardinality P_1,1;Pair counting cardinality P_1,0;Pair counting cardinality P_0,1;Pair counting cardinality P_0,0;Precision;Negative Predictive Value;Recall;Specificity;Accuracy;Balanced Accuracy;Matthews Correlation Coefficient;Intersection over Union;Balanced Intersection over Union*;Segmentation Covering;Dice coefficient;F2-score;Cohen kappa;Global Consistency Error;Bidirectional Consistency Error;Mutual Information;Variation of Information;Pearson Correlation Coefficient;Normalized Variation of Information;Rand Index;Adjusted Rand Index;Average Hausdorff Distance;Surface Consistency Measure (a=0.5,k=3);Surface Consistency Measure (a=1,k=3);Surface Consistency Measure (a=2,k=3);Surface Consistency Measure (a=0.5,k=5);Surface Consistency Measure (a=1,k=5);Surface Consistency Measure (a=2,k=5);Surface Consistency Measure (a=0.5,k=7);Surface Consistency Measure (a=1,k=7);Surface Consistency Measure (a=2,k=7);Error Rate;Maximum Error Distance;Minimum Error Distance;Average Error Distance;Median Error Distance
Erosion 0.01;12014549;122203179;12014549;0;1342177;120861002;7.3767662484995e+15;16125651333174;162216857081354;1.4520904307181e+15;1;0.989016840552078;0.899513024374386;1;0.990000002086163;0.949756512187193;0.943203864179001;0.899513024374386;0.980109835743892;0.980109835743892;0.947098559295897;0.917961662617729;0.94159371704591;0.0197803326845417;0.0287754610517552;0.246356328008688;0.110117583882657;0.817332348986145;0.30890783367121;0.980200003941357;0.930232593575057;0.009999998;0.2689421;0.1192015;0.0179885;0.1192015;0.0179885;0.0003373027;0.04742593;0.002468705;4.768372e-07;0.00999999791383743;1;1;1;1
Erosion 0.02;10672371;123545357;10672371;0;2684355;120861002;7.36424346737697e+15;28648432455706;324433835023710;1.28987345277574e+15;1;0.978272311763201;0.799025973880126;1;0.979999996721745;0.899512986940063;0.884118197203606;0.799025973880126;0.960434547279454;0.960434547279454;0.888287312669303;0.832487652941472;0.877454507434169;0.0391308988845811;0.0551114209815949;0.205050614477164;0.168898005845932;0.708893922928566;0.451660994764473;0.960799993413687;0.856482719353947;0.02271192;0.2833019;0.1377524;0.0285123;0.1273586;0.02146572;0.0005491376;0.05104572;0.002967834;5.960464e-07;0.0200000032782555;2;1;1.1355916261673;1
Erosion 0.03;9330194;124887534;9330194;0;4026532;120861002;7.35532357512547e+15;37568324707208;486650692105064;1.12765659569439e+15;1;0.967758735631692;0.698538998254512;1;0.969999998807907;0.849269499127256;0.822202662206962;0.698538998254512;0.940967235585298;0.940967235585298;0.822517468215165;0.743357667685654;0.806694836526434;0.0580655264452182;0.0790216972255769;0.168868772245674;0.216061107609851;0.612260612697638;0.561299911794181;0.941799997325242;0.778048169845887;0.03898269;0.3006535;0.1601663;0.04123855;0.1372131;0.02567118;0.0008106232;0.05542207;0.003565133;5.960464e-06;0.0300000011920929;2;1;1.29941868782043;1
Erosion 0.04;7988017;126229711;7988017;0;5368709;120861002;7.35000656107262e+15;42885338760054;648867549186418;965439738613034;1;0.95746873729276;0.598052022628899;1;0.96000000089407;0.799026011314449;0.756714024544195;0.598052022628899;0.921701252258403;0.921701252258403;0.748476287580506;0.650331944577442;0.728233813072732;0.0765974972713333;0.100519577641789;0.135977436262643;0.25509219068063;0.521415623081378;0.652293538300362;0.923200001072883;0.694077092264054;0.06413229;0.3355773;0.2165977;0.1061752;0.1593937;0.03964794;0.00286299;0.06591302;0.005671144;5.13196e-05;0.0399999991059303;3;1;1.60330200195312;1.41421353816986
Erosion 0.05;6645840;127571888;6645840;0;6710886;120861002;7.34829242521844e+15;44599474614240;811084406267772;803222881531680;1;0.947395259996466;0.497565047003285;1;0.950000002980232;0.748782523501643;0.686579031919;0.497565047003285;0.902630242803867;0.902630242803867;0.664498744811041;0.553149361713858;0.640741776583594;0.0947395203527308;0.119617771220036;0.105506484545416;0.287487940681126;0.432881453870337;0.731531854466901;0.905000004656613;0.603525023474321;0.09260796;0.3646867;0.2659294;0.1716403;0.1789714;0.0545876;0.006785929;0.07554436;0.008075595;0.0001050234;0.0499999970197678;4;1;1.85215473175049;1.73205077648163
Erosion 0.06;5303662;128914066;5303662;0;8053064;120861002;7.35018117031231e+15;42710729520368;973301384210128;641005903589324;1;0.937531533603168;0.397077996509025;1;0.939999997615814;0.698538998254512;0.610141904008551;0.397077996509025;0.883748103364375;0.883748103364375;0.568440699089429;0.451524849939297;0.542564204391496;0.112503788502879;0.136328469240128;0.0769438514144828;0.31392828645394;0.343568713422802;0.803148283134;0.887199994963408;0.505095767147498;0.1305783;0.4033399;0.3347155;0.2747706;0.2084659;0.08586544;0.02546108;0.09142184;0.01410079;0.0006155968;0.0600000023841858;5;1;2.17630124092102;2
Erosion 0.07;3961485;130256243;3961485;0;9395241;120861002;7.35567279353979e+15;37219106292886;1.13551824129148e+15;478789046507970;1;0.927871088681715;0.296591020883411;1;0.929999999701977;0.648295510441706;0.52459339820504;0.296591020883411;0.86504902321773;0.86504902321773;0.457493559814002;0.345146907678485;0.431616396923425;0.129901952968494;0.150663324518724;0.049951593260124;0.33456539968285;0.249432897385913;0.870092624833535;0.869799998517334;0.397159689302377;0.1767941;0.4442863;0.4048321;0.3711751;0.2434328;0.1320945;0.07018131;0.1120662;0.02529991;0.002569675;0.0700000002980232;6;1;2.52562522888184;2.2360680103302
Erosion 0.08;2619308;131598420;2619308;0;10737418;120861002;7.36476729496593e+15;28124604866744;1.29773509837284e+15;316572189426616;1;0.918407698207927;0.196104045257797;1;0.920000001788139;0.598052022628899;0.424385985648062;0.196104045257797;0.846527387573746;0.846527387573746;0.327904660192886;0.233673954628727;0.305233346370677;0.146945228428786;0.162633551698749;0.0242897620378633;0.34898255864195;0.142683238571279;0.934927502811818;0.852800001907349;0.277637061268441;0.2350556;0.4888523;0.4714265;0.449088;0.287993;0.2010437;0.160602;0.1429992;0.05324674;0.01817065;0.0799999982118607;7;1;2.93819212913513;2.82842707633972
Erosion 0.09;1277130;132940598;1277130;0;12079596;120861002;7.3774646853932e+15;15427214439480;1.45995207631519e+15;154355211484260;1;0.909135386919201;0.0956169947635371;1;0.909999996423721;0.547808497381769;0.294836893095826;0.0956169947635371;0.828177808349672;0.828177808349672;0.174544562964129;0.116730879481393;0.159953060490836;0.163644376148099;0.172249906018771;-0.000220803929738;0.355619226415884;-0.00173454095743813;1.00062128562134;0.836199992914498;0.14382989916066;0.3080077;0.5335069;0.5282839;0.510253;0.3396658;0.2777674;0.2514034;0.1866021;0.1099837;0.0825305;0.0900000035762787;9;1;3.42230415344238;3
Erosion 0.1;0;1;0;0;13356726;120861002;7.39289189983268e+15;0;1.61430728779945e+15;0;NaN;0.900484636425972;0;1;0.900484636425972;0.5;NaN;0;0.810872580439215;0.820775888026486;0;NaN;0;0;0.179224111973514;NaN;NaN;NaN;NaN;0.820775886691162;0;0.4029762;0.5746974;0.5732106;0.5570803;0.3942053;0.3455458;0.3229454;0.2447699;0.1869377;0.1684325;NaN;NaN;NaN;NaN;NaN
