Row;Number of Positives;Number of Negatives;Number of True Positives;Number of False Positives;Number of False Negatives;Number of True Negatives;Pair counting cardinality P_1,1;Pair counting cardinality P_1,0;Pair counting cardinality P_0,1;Pair counting cardinality P_0,0;Precision;Negative Predictive Value;Recall;Specificity;Accuracy;Balanced Accuracy;Matthews Correlation Coefficient;Intersection over Union;Balanced Intersection over Union*;Segmentation Covering;Dice coefficient;F2-score;Cohen kappa;Global Consistency Error;Bidirectional Consistency Error;Mutual Information;Variation of Information;Pearson Correlation Coefficient;Normalized Variation of Information;Rand Index;Adjusted Rand Index;Average Hausdorff Distance;Surface Consistency Measure (a=0.5,k=3);Surface Consistency Measure (a=1,k=3);Surface Consistency Measure (a=2,k=3);Surface Consistency Measure (a=0.5,k=5);Surface Consistency Measure (a=1,k=5);Surface Consistency Measure (a=2,k=5);Surface Consistency Measure (a=0.5,k=7);Surface Consistency Measure (a=1,k=7);Surface Consistency Measure (a=2,k=7);Error Rate;Maximum Error Distance;Minimum Error Distance;Average Error Distance;Median Error Distance
Erosion 0.01;11962906;122254822;11962906;0;1342177;120912645;7.38239007287123e+15;16056337286362;162286171128166;1.44646660634637e+15;1;0.989021480068901;0.899122989311679;1;0.990000002086163;0.949561494655839;0.943001563971668;0.899122989311679;0.980109789348733;0.980109789348733;0.946882318177359;0.917636678312912;0.941379946508813;0.0197804254748588;0.0287716534922589;0.245458669653308;0.11012608082273;0.816775166095271;0.309704172283257;0.980200003941357;0.930029952936842;0.009999998;0.2689419;0.1192014;0.01798797;0.1192014;0.01798797;0.000336647;0.04742694;0.002469003;4.768372e-07;0.00999999791383743;1;1;1;1
Erosion 0.02;10620728;123597000;10620728;0;2684355;120912645;7.36993660584715e+15;28509804310440;324572463168976;1.28418031430556e+15;1;0.978281390325008;0.798245903464112;1;0.979999996721745;0.899122951732056;0.883690620218475;0.798245903464112;0.960434365708188;0.960434365708188;0.887805057057418;0.831810123453464;0.876978063490508;0.0391312620271129;0.0550961827132492;0.204148754046591;0.168865020621025;0.708028398728958;0.452704516801013;0.960799993413687;0.856033483049499;0.02257837;0.2826064;0.1368951;0.02809703;0.1269711;0.02131087;0.0005422235;0.05087572;0.002945781;5.960464e-07;0.0200000032782555;2;1;1.12891530990601;1
Erosion 0.03;9278551;124939177;9278551;0;4026532;120912645;7.36108602764246e+15;37360382515132;486858634297140;1.1218941431774e+15;1;0.967772062401211;0.697368892775791;1;0.969999998807907;0.848684446387896;0.821519404284571;0.697368892775791;0.940966835782197;0.940966835782197;0.821705753821551;0.742297346338174;0.805894675820355;0.0580663260514211;0.0789873936660233;0.167962755138515;0.215980430604432;0.611091226515256;0.562532266815728;0.941799997325242;0.777298079633903;0.03892338;0.3004693;0.1600206;0.04131222;0.1371231;0.02565664;0.0008125901;0.05538505;0.003563523;5.662441e-06;0.0300000011920929;2;1;1.29744124412537;1
Erosion 0.04;7936374;126281354;7936374;0;5368709;120912645;7.35583832763643e+15;42608082521166;649144805425306;959607972049230;1;0.95748613053357;0.59649188208747;1;0.96000000089407;0.798245941043735;0.755733222820473;0.59649188208747;0.921700556528786;0.921700556528786;0.747253260451955;0.648855580939889;0.727033054042382;0.076598888730567;0.100458563480761;0.135067306904008;0.254955686349539;0.519921538014788;0.653693989225392;0.923200001072883;0.692958522399938;0.06308734;0.3325353;0.2115323;0.100032;0.1574327;0.03836673;0.002670646;0.06498027;0.005478263;4.887581e-05;0.0399999991059303;3;1;1.57717859745026;1.41421353816986
Erosion 0.05;6594197;127623531;6594197;0;6710886;120912645;7.35419350582905e+15;44252904328542;811430976553470;797321800921066;1;0.947416546561464;0.495614871399149;1;0.950000002980232;0.747807435699574;0.685239906810371;0.495614871399149;0.90262917847568;0.90262917847568;0.662757345994428;0.551220339794032;0.639042615913166;0.0947416490091038;0.119522391102014;0.104592286420846;0.287284473666315;0.431014666976777;0.733099032467292;0.905000004656613;0.601952784736279;0.08906437;0.3560674;0.2498473;0.1449212;0.1724435;0.04794627;0.004103065;0.07209718;0.006923795;4.470348e-05;0.0499999970197678;3;1;1.78128218650818;1.73205077648163
Erosion 0.06;5252019;128965709;5252019;0;8053064;120912645;7.35615156502138e+15;42294845136216;973717268594280;635035508880256;1;0.937556548462041;0.394737785551582;1;0.939999997615814;0.697368892775791;0.608349402703159;0.394737785551582;0.883746602472783;0.883746602472783;0.566038705828098;0.449102773377455;0.540240811964904;0.112506790286063;0.136191058360286;0.076025627096465;0.313641663369822;0.341236055812646;0.804896051178711;0.887199994963408;0.502961264863839;0.1243934;0.3910435;0.3128729;0.2426161;0.1979017;0.07180524;0.01295066;0.08525103;0.01099324;0.00025177;0.0600000023841858;4;1;2.07322263717651;2
Erosion 0.07;3909842;130307886;3909842;0;9395241;120912645;7.36171250229567e+15;36733907861922;1.13600343972245e+15;472749337752090;1;0.927899674467898;0.293860774863261;1;0.929999999701977;0.64693038743163;0.522181306956218;0.293860774863261;0.865047022212688;0.865047022212688;0.454238633046615;0.342187125143361;0.428504807354008;0.129905954978577;0.150476209306583;0.0490293844453448;0.334169853811651;0.246441719487749;0.872052500238889;0.869799998517334;0.394322643362695;0.1676655;0.429188;0.3795333;0.3373768;0.2293444;0.111051;0.04621136;0.1032073;0.01951337;0.001219749;0.0700000002980232;5;1;2.39521503448486;2.2360680103302
Erosion 0.08;2567665;131650063;2567665;0;10737418;120912645;7.37087631776862e+15;27570092388970;1.29828961085061e+15;310463166623926;1;0.918439704810472;0.19298376417494;1;0.920000001788139;0.59649188208747;0.42100350521349;0.19298376417494;0.8465248270456;0.8465248270456;0.323531249913374;0.230127011012781;0.301116775653772;0.146950349485079;0.162389050273992;0.0233636095653102;0.348430474216594;0.138539579421641;0.93715981349769;0.852800001907349;0.273913522794363;0.2168831;0.4654528;0.4393309;0.415683;0.2619659;0.1573237;0.09873921;0.1234772;0.03272247;0.004684091;0.0799999982118607;6;1;2.71103525161743;2.44948983192444
Erosion 0.09;1225487;132992241;1225487;0;12079596;120912645;7.38364302229434e+15;14803387863252;1.46057590289142e+15;148176874583116;1;0.909170671092008;0.0921066783273731;1;0.909999996423721;0.546053339163687;0.289379837837665;0.0921066783273731;0.828174632773993;0.828174632773993;0.168677071856094;0.112541883151762;0.154540087453376;0.163650727299457;0.171940328678319;-0.00115086005264137;0.35479059894794;-0.00920916091284155;1.0032543289853;0.836199992914498;0.138974508279158;0.2752686;0.5028162;0.4947534;0.4800016;0.2996753;0.2160665;0.1762311;0.1498663;0.05701196;0.0186494;0.0900000035762787;7;1;3.05853366851807;2.82842707633972
Erosion 0.1;0;1;0;0;13305083;120912645;7.39844641015759e+15;0;1.60875277747454e+15;0;NaN;0.900869406759739;0;1;0.900869406759739;0.5;NaN;0;0.811565688035644;0.82139256255181;0;NaN;0;0;0.17860743744819;NaN;NaN;NaN;NaN;0.821392561221081;0;0.3371127;0.5362912;0.5390366;0.5278291;0.3370933;0.2741266;0.2486113;0.1795165;0.09271389;0.05371046;NaN;NaN;NaN;NaN;NaN
