Row;Number of Positives;Number of Negatives;Number of True Positives;Number of False Positives;Number of False Negatives;Number of True Negatives;Pair counting cardinality P_1,1;Pair counting cardinality P_1,0;Pair counting cardinality P_0,1;Pair counting cardinality P_0,0;Precision;Negative Predictive Value;Recall;Specificity;Accuracy;Balanced Accuracy;Matthews Correlation Coefficient;Intersection over Union;Balanced Intersection over Union*;Segmentation Covering;Dice coefficient;F2-score;Cohen kappa;Global Consistency Error;Bidirectional Consistency Error;Mutual Information;Variation of Information;Pearson Correlation Coefficient;Normalized Variation of Information;Rand Index;Adjusted Rand Index;Average Hausdorff Distance;Surface Consistency Measure (a=0.5,k=3);Surface Consistency Measure (a=1,k=3);Surface Consistency Measure (a=2,k=3);Surface Consistency Measure (a=0.5,k=5);Surface Consistency Measure (a=1,k=5);Surface Consistency Measure (a=2,k=5);Surface Consistency Measure (a=0.5,k=7);Surface Consistency Measure (a=1,k=7);Surface Consistency Measure (a=2,k=7);Error Rate;Maximum Error Distance;Minimum Error Distance;Average Error Distance;Median Error Distance
Erosion 0.01;11989047;122228681;11989047;0;1342177;120886504;7.37954270109591e+15;16091423135320;162251085279208;1.44931397812169e+15;1;0.989019132097155;0.899320797550172;1;0.990000002086163;0.949660398775086;0.943104169575128;0.899320797550172;0.980109812828446;0.980109812828446;0.946991997044581;0.917801502199921;0.941488374863362;0.0197803785154337;0.0287735846148061;0.245913279618438;0.110121780235807;0.817057755600297;0.309300382610884;0.980200003941357;0.930132745905789;0.009999998;0.2689418;0.1192013;0.01798725;0.1192013;0.01798725;0.0003374815;0.04742622;0.002468944;4.768372e-07;0.00999999791383743;1;1;1;1
Erosion 0.02;10646869;123570859;10646869;0;2684355;120886504;7.36705414819674e+15;28579976034496;324502291444920;1.28706277195598e+15;1;0.97827679582611;0.798641520088478;1;0.979999996721745;0.899320760044239;0.883907499281373;0.798641520088478;0.960434457598181;0.960434457598181;0.888049687687841;0.832153763461114;0.877219750978123;0.0391310782471269;0.0551039112670474;0.20460549082563;0.168881744089446;0.708467395191681;0.452175411370744;0.960799993413687;0.856261389300388;0.02249735;0.282171;0.1363091;0.02772045;0.1267199;0.02119642;0.0005346537;0.05076331;0.002929688;5.960464e-07;0.0200000032782555;2;1;1.12486493587494;1
Erosion 0.03;9304692;124913036;9304692;0;4026532;120886504;7.35816848414309e+15;37465640088144;486753376724128;1.12481168667677e+15;1;0.967765317944878;0.69796231763865;1;0.969999998807907;0.848981158819325;0.821866001391415;0.69796231763865;0.940967038115895;0.940967038115895;0.822117558662084;0.742835159637327;0.806300625277043;0.058065921384025;0.0790047917452204;0.168421595756034;0.216021328882279;0.611684393187745;0.561907412096382;0.941799997325242;0.777678658426494;0.03880851;0.3000501;0.1594262;0.04087687;0.136876;0.02553767;0.0008034706;0.05527294;0.003546655;5.00679e-06;0.0300000011920929;2;1;1.29361283779144;1
Erosion 0.04;7962515;126255213;7962515;0;5368709;120886504;7.3528856982881e+15;42748425943136;649004462003336;962560601397560;1;0.957477328084663;0.597283115188823;1;0.96000000089407;0.798641557594411;0.756230812147375;0.597283115188823;0.921700908626735;0.921700908626735;0.747873823380666;0.649604451393778;0.727642322735698;0.0765981845346702;0.10048950860821;0.135528228877199;0.255024888881002;0.5206795005653;0.652983876674346;0.923200001072883;0.69352613218764;0.06309406;0.3325701;0.2116358;0.1001757;0.1574594;0.03838372;0.002665579;0.06499219;0.005479157;4.667044e-05;0.0399999991059303;3;1;1.57734751701355;1.41421353816986
Erosion 0.05;6620338;127597390;6620338;0;6710886;120886504;7.35120579063176e+15;44428333599468;811255547282544;800309516118352;1;0.947405773738789;0.496603912738995;1;0.950000002980232;0.748301956369498;0.685919393362076;0.496603912738995;0.902629717116782;0.902629717116782;0.663641072313035;0.552198862047982;0.639904904394167;0.0947405717269004;0.119570765883855;0.105055267742352;0.287387635260893;0.43196188008119;0.732304325193815;0.905000004656613;0.602750720465013;0.08993869;0.3582422;0.2541056;0.1525981;0.1741943;0.04993671;0.005005181;0.07305098;0.007277668;6.210804e-05;0.0499999970197678;4;1;1.79876840114594;1.73205077648163
Erosion 0.06;5278160;128939568;5278160;0;8053064;120886504;7.35312876394899e+15;42505360282240;973506753448256;638058309952640;1;0.937543888777415;0.395924635277301;1;0.939999997615814;0.69796231763865;0.60925915850372;0.395924635277301;0.88374736205389;0.88374736205389;0.567257895264024;0.450331463942768;0.541420083938803;0.112505271123847;0.136260750184443;0.0764906462209666;0.313787013061802;0.342420009396843;0.804009672596845;0.887199994963408;0.504044734969505;0.1254563;0.3932238;0.3170428;0.2498599;0.1997054;0.07398593;0.01433694;0.08626008;0.01142204;0.000287652;0.0600000023841858;5;1;2.09093403816223;2
Erosion 0.07;3935983;130281745;3935983;0;9395241;120886504;7.35865461537433e+15;36979508856904;1.13575783872746e+15;475807224673432;1;0.927885207555364;0.295245432827473;1;0.929999999701977;0.647622716413737;0.523406027591289;0.295245432827473;0.86504803489657;0.86504803489657;0.45589110039626;0.343688663948033;0.430084442193096;0.129903929610814;0.150571109996727;0.0494964202707083;0.334370499433167;0.247960753809235;0.871058385784086;0.869799998517334;0.395762991175081;0.1704072;0.433851;0.3877434;0.3489833;0.2336892;0.1175876;0.05289668;0.1058699;0.02103275;0.00141108;0.0700000002980232;5;1;2.4343843460083;2.2360680103302
Erosion 0.08;2593806;131623922;2593806;0;10737418;120886504;7.36778334499832e+15;27850779232908;1.29800892400667e+15;313556139394224;1;0.918423506632784;0.194566230377646;1;0.920000001788139;0.597283115188823;0.422722367016177;0.194566230377646;0.846526122899786;0.846526122899786;0.325752102193842;0.231926520755078;0.303207056826233;0.146947757776707;0.162513055859007;0.0238326414234297;0.348710684317514;0.140646616104754;0.936027195290563;0.852800001907349;0.275804339295641;0.2233181;0.474049;0.4514954;0.4280068;0.2714759;0.1741043;0.1244249;0.1303313;0.03905779;0.007044613;0.0799999982118607;6;1;2.79147100448608;2.44948983192444
Erosion 0.09;1251628;132966100;1251628;0;12079596;120886504;7.38051496364894e+15;15119160582288;1.46026013017238e+15;151304933228512;1;0.90915281413834;0.0938869529159513;1;0.909999996423721;0.546943476457976;0.29216020854047;0.0938869529159513;0.828176239899887;0.828176239899887;0.171657505678587;0.1146672514358;0.157289336604;0.163647513047669;0.17209733914587;-0.000679852409067871;0.35521181875941;-0.00538905662771823;1.0019176053885;0.836199992914498;0.141440687999403;0.2887573;0.5159109;0.5087694;0.4913691;0.3169278;0.2445842;0.2134614;0.1652349;0.07874483;0.04268062;0.0900000035762787;8;1;3.20840787887573;3
Erosion 0.1;0;1;0;0;13331224;120886504;7.39563412423123e+15;0;1.6115650634009e+15;0;NaN;0.900674641132355;0;1;0.900674641132355;0.5;NaN;0;0.811214809178896;0.821080336093083;0;NaN;0;0;0.178919663906917;NaN;NaN;NaN;NaN;0.821080334760027;0;0.3665406;0.5548607;0.5542852;0.5391165;0.3654655;0.3112999;0.2869799;0.2112427;0.1429327;0.1200805;NaN;NaN;NaN;NaN;NaN
Erosion 0.11;0;1;0;0;13331224;120886504;7.39563412423123e+15;0;1.6115650634009e+15;0;NaN;0.900674641132355;0;1;0.900674641132355;0.5;NaN;0;0.811214809178896;0.821080336093083;0;NaN;0;0;0.178919663906917;NaN;NaN;NaN;NaN;0.821080334760027;0;0.3665406;0.5548607;0.5542852;0.5391165;0.3654655;0.3112999;0.2869799;0.2112427;0.1429327;0.1200805;NaN;NaN;NaN;NaN;NaN
Erosion 0.12;0;1;0;0;13331224;120886504;7.39563412423123e+15;0;1.6115650634009e+15;0;NaN;0.900674641132355;0;1;0.900674641132355;0.5;NaN;0;0.811214809178896;0.821080336093083;0;NaN;0;0;0.178919663906917;NaN;NaN;NaN;NaN;0.821080334760027;0;0.3665406;0.5548607;0.5542852;0.5391165;0.3654655;0.3112999;0.2869799;0.2112427;0.1429327;0.1200805;NaN;NaN;NaN;NaN;NaN
Erosion 0.13;0;1;0;0;13331224;120886504;7.39563412423123e+15;0;1.6115650634009e+15;0;NaN;0.900674641132355;0;1;0.900674641132355;0.5;NaN;0;0.811214809178896;0.821080336093083;0;NaN;0;0;0.178919663906917;NaN;NaN;NaN;NaN;0.821080334760027;0;0.3665406;0.5548607;0.5542852;0.5391165;0.3654655;0.3112999;0.2869799;0.2112427;0.1429327;0.1200805;NaN;NaN;NaN;NaN;NaN
Erosion 0.14;0;1;0;0;13331224;120886504;7.39563412423123e+15;0;1.6115650634009e+15;0;NaN;0.900674641132355;0;1;0.900674641132355;0.5;NaN;0;0.811214809178896;0.821080336093083;0;NaN;0;0;0.178919663906917;NaN;NaN;NaN;NaN;0.821080334760027;0;0.3665406;0.5548607;0.5542852;0.5391165;0.3654655;0.3112999;0.2869799;0.2112427;0.1429327;0.1200805;NaN;NaN;NaN;NaN;NaN
Erosion 0.15;0;1;0;0;13331224;120886504;7.39563412423123e+15;0;1.6115650634009e+15;0;NaN;0.900674641132355;0;1;0.900674641132355;0.5;NaN;0;0.811214809178896;0.821080336093083;0;NaN;0;0;0.178919663906917;NaN;NaN;NaN;NaN;0.821080334760027;0;0.3665406;0.5548607;0.5542852;0.5391165;0.3654655;0.3112999;0.2869799;0.2112427;0.1429327;0.1200805;NaN;NaN;NaN;NaN;NaN
Dilation 0.01;14673401;119544327;13331224;1342177;0;119544327;7.23518447805135e+15;160449646179880;17892862234648;1.59367220116625e+15;0.908529931131849;1;1;0.9888972138693;0.990000002086163;0.99444860693465;0.947862182816232;0.908529931131849;0.980914704670185;0.980914704670185;0.952073023652343;0.98026160861058;0.946504953009837;0.0197779401513853;0.0288632375673627;0.267528711959731;0.111019249722375;0.830102517341654;0.293276575124201;0.980200003941357;0.934863785122014;0.009999998;0.2689419;0.1192006;0.01798737;0.1192006;0.01798737;0.0003396869;0.0474261;0.002469599;4.768372e-07;0.00999999791383743;1;1;1;1
Dilation 0.02;16015579;118202149;13331224;2684355;0;118202149;7.07833759455234e+15;317296529678896;35785737800520;1.57577932560038e+15;0.832391011277207;1;1;0.977794419466378;0.979999996721745;0.988897209733189;0.902168102761801;0.832391011277207;0.96335217376741;0.96335217376741;0.908529900173453;0.961287328937392;0.897407813600888;0.0391117831895749;0.0557596061439094;0.247030201293455;0.172492431112474;0.744723432567517;0.411163588775279;0.960799993413687;0.875113440883826;0.02178477;0.2784083;0.1314844;0.02504683;0.1245884;0.02029729;0.0004807711;0.04981887;0.002802074;4.172325e-07;0.0200000032782555;2;1;1.08923602104187;1
Dilation 0.03;17357756;116859972;13331224;4026532;0;116859972;6.92509370745413e+15;470540416777104;53678600035168;1.55788646336573e+15;0.768026926982958;1;1;0.966691633335678;0.969999998807907;0.983345816667839;0.861652600814816;0.768026926982958;0.946959190082859;0.946959190082859;0.868795509006816;0.943033659800993;0.852187721688322;0.0580015003049131;0.0810423090299613;0.230925158469638;0.224226081303156;0.678295009639261;0.492640822894576;0.941799997325242;0.8201119945855;0.03821433;0.2979875;0.1568872;0.03965259;0.1357258;0.02507955;0.0007790327;0.05476815;0.003481627;4.053116e-06;0.0300000011920929;2;1;1.2738071680069;1
Dilation 0.04;18699933;115517795;13331224;5368709;0;115517795;6.77545269855458e+15;620181425676656;71571462269816;1.53999360113108e+15;0.712902233393029;1;1;0.955588847204978;0.96000000089407;0.977794423602489;0.825373505376747;0.712902233393029;0.931483912195733;0.931483912195733;0.832391037264124;0.925460302030012;0.810402853397663;0.0764471060676723;0.104963194766009;0.217444079179411;0.269822932867619;0.623783295627409;0.55374758848148;0.923200001072883;0.769319164464662;0.05710543;0.3150674;0.1822073;0.0635426;0.1461037;0.03081608;0.001482606;0.05956328;0.004331887;3.385544e-05;0.0399999991059303;3;1;1.42763066291809;1.41421353816986
