Row;Number of Positives;Number of Negatives;Number of True Positives;Number of False Positives;Number of False Negatives;Number of True Negatives;Pair counting cardinality P_1,1;Pair counting cardinality P_1,0;Pair counting cardinality P_0,1;Pair counting cardinality P_0,0;Precision;Negative Predictive Value;Recall;Specificity;Accuracy;Balanced Accuracy;Matthews Correlation Coefficient;Intersection over Union;Balanced Intersection over Union*;Segmentation Covering;Dice coefficient;F2-score;Cohen kappa;Global Consistency Error;Bidirectional Consistency Error;Mutual Information;Variation of Information;Pearson Correlation Coefficient;Normalized Variation of Information;Rand Index;Adjusted Rand Index;Average Hausdorff Distance;Surface Consistency Measure (a=0.5,k=3);Surface Consistency Measure (a=1,k=3);Surface Consistency Measure (a=2,k=3);Surface Consistency Measure (a=0.5,k=5);Surface Consistency Measure (a=1,k=5);Surface Consistency Measure (a=2,k=5);Surface Consistency Measure (a=0.5,k=7);Surface Consistency Measure (a=1,k=7);Surface Consistency Measure (a=2,k=7);Error Rate;Maximum Error Distance;Minimum Error Distance;Average Error Distance;Median Error Distance
Erosion 0.01;12038061;122179667;12038061;0;1342177;120837490;7.37420760351071e+15;16157208598798;162185299815730;1.45464907570689e+15;1;0.989014726975807;0.899689601933837;1;0.990000002086163;0.949844800966918;0.943295428813034;0.899689601933837;0.98010985687965;0.98010985687965;0.947196427266829;0.918108773236107;0.941690460042483;0.0197802904130251;0.0287771845554647;0.246764411877063;0.11011371420368;0.817584568217794;0.308547109381444;0.980200003941357;0.930324273519715;0.009999998;0.2689416;0.1192006;0.01798689;0.1192006;0.01798689;0.0003349781;0.04742682;0.00246954;4.172325e-07;0.00999999791383743;1;1;1;1
Erosion 0.02;10695883;123521845;10695883;0;2684355;120837490;7.36165326509904e+15;28711547010466;324370720468950;1.29246365505367e+15;1;0.97826817596515;0.799379129130588;1;0.979999996721745;0.899689564565294;0.884311688579988;0.799379129130588;0.960434629995429;0.960434629995429;0.888505503025176;0.832794313204629;0.877670055417878;0.039130733452632;0.0551183186558127;0.205460612049413;0.16891295254216;0.709285656079016;0.451188247563466;0.960799993413687;0.856685904245118;0.02232324;0.2812573;0.1351579;0.02711934;0.1262056;0.02098578;0.0005232096;0.05053729;0.002899349;5.960464e-07;0.0200000032782555;2;1;1.1161584854126;1
Erosion 0.03;9353706;124864022;9353706;0;4026532;120837490;7.35270181558192e+15;37662996527592;486556020284680;1.13027835523794e+15;1;0.967752664574588;0.699068731064425;1;0.969999998807907;0.849534365532213;0.822511779373629;0.699068731064425;0.940967417717018;0.940967417717018;0.822884581751411;0.743837525128168;0.807056708503614;0.0580651621817774;0.0790372249470651;0.169280662840164;0.216097677927172;0.612789740054677;0.560741627297722;0.941799997325242;0.778387313418475;0.03869989;0.2996879;0.1590355;0.04079187;0.1366837;0.02547538;0.0008021593;0.05519056;0.003538072;5.602837e-06;0.0300000011920929;2;1;1.28999245166779;1
Erosion 0.04;8011529;126206199;8011529;0;5368709;120837490;7.34735324426345e+15;43011567846062;648741320100410;968093055422210;1;0.95746081379093;0.598758332998262;1;0.96000000089407;0.799379166499131;0.757157606299122;0.598758332998262;0.921701569198469;0.921701569198469;0.749029194268991;0.650999997871043;0.728776640606706;0.076596863391201;0.1005471961758;0.136391199641358;0.255154058669213;0.522091425496281;0.651659171586307;0.923200001072883;0.694582648069424;0.0620356;0.329495;0.2065347;0.09399694;0.1554804;0.03709435;0.002470911;0.06404936;0.005283833;4.547834e-05;0.0399999991059303;3;1;1.55088412761688;1.41421353816986
Erosion 0.05;6669352;127548376;6669352;0;6710886;120837490;7.34560755114364e+15;44757260965872;810926619916140;805907755606480;1;0.947385562949073;0.498447934932099;1;0.950000002980232;0.74922396746605;0.687184383871206;0.498447934932099;0.902630727656208;0.902630727656208;0.665285624294562;0.554022122898731;0.641509577185915;0.0947385506480493;0.119660945909164;0.105922100898488;0.287580127997114;0.433725375888639;0.730822106914699;0.905000004656613;0.604235320159192;0.08798338;0.3535613;0.245707;0.139832;0.1708275;0.04687709;0.003931046;0.0713262;0.006761432;3.993511e-05;0.0499999970197678;3;1;1.75966155529022;1.73205077648163
Erosion 0.06;5327174;128890554;5327174;0;8053064;120837490;7.34746473894837e+15;42900073161136;973112040569360;643722334953260;1;0.937520138209663;0.39813746212885;1;0.939999997615814;0.699068731064425;0.610951625353009;0.39813746212885;0.883748787088012;0.883748787088012;0.569525490752008;0.4526205303462;0.543613554911008;0.112502421055604;0.136390669732569;0.0773613013481099;0.314058081019531;0.344622310260419;0.802356999083279;0.887199994963408;0.506059616046617;0.1219317;0.3861097;0.3039028;0.2284511;0.194262;0.06828392;0.01157397;0.08335316;0.01038617;0.0002235174;0.0600000023841858;4;1;2.03219127655029;2
Erosion 0.07;3984997;130232731;3984997;0;9395241;120837490;7.35292480491023e+15;37440007199278;1.13529734038509e+15;481537035137530;1;0.927858066648391;0.297827064062687;1;0.929999999701977;0.648913532031343;0.525681694428074;0.297827064062687;0.865049934760066;0.865049934760066;0.45896263425171;0.34648563055624;0.433020941988429;0.129900129883821;0.150748024456969;0.0503708577795894;0.334744361759411;0.250781725542852;0.869205746166341;0.869799998517334;0.398440074999244;0.1633669;0.4219215;0.3668727;0.3195602;0.2231497;0.1028582;0.03868026;0.0995903;0.01767474;0.0009937882;0.0700000002980232;5;1;2.33380627632141;2.2360680103302
Erosion 0.08;2642820;131574908;2642820;0;10737418;120837490;7.36198774907075e+15;28377063038760;1.29748264020082e+15;319351735321800;1;0.918393117934006;0.197516665996524;1;0.920000001788139;0.598758332998262;0.425908378326228;0.197516665996524;0.846528553995634;0.846528553995634;0.329877105855824;0.235278000914896;0.307090336885728;0.146942895585011;0.162744228511546;0.0247108225392823;0.349231932371651;0.144544688893363;0.933918167380545;0.852800001907349;0.279316474328496;0.2105089;0.4565623;0.4254643;0.3988729;0.2533411;0.1439574;0.0811156;0.117766;0.02827549;0.003203571;0.0799999982118607;6;1;2.63135838508606;2.44948983192444
Erosion 0.09;1300642;132917086;1300642;0;12079596;120837490;7.37465358220888e+15;15711229900632;1.45966806085404e+15;157166314668580;1;0.909119313674993;0.097206193193275;1;0.909999996423721;0.548603096596638;0.297274330612027;0.097206193193275;0.828179254941708;0.828179254941708;0.177188560903706;0.118624971028752;0.162393052001503;0.163641482964027;0.172390040699058;0.000202034328668943;0.355991833052046;0.00157418162123977;0.99943279672344;0.836199992914498;0.146018217433214;0.2678386;0.4940441;0.4818771;0.4649822;0.2906485;0.2019439;0.1579467;0.1434203;0.05076933;0.01455796;0.0900000035762787;7;1;2.97598195075989;2.82842707633972
Erosion 0.1;0;1;0;0;13380238;120837490;7.39036481210951e+15;0;1.61683437552262e+15;0;NaN;0.900309458374977;0;1;0.900309458374977;0.5;NaN;0;0.810557120839445;0.820495324928935;0;NaN;0;0;0.179504675071065;NaN;NaN;NaN;NaN;0.820495323591521;0;0.3360876;0.5314602;0.5302395;0.5169314;0.3333988;0.2668533;0.2368448;0.1785555;0.09518176;0.06243002;NaN;NaN;NaN;NaN;NaN
Erosion 0.11;0;1;0;0;13380238;120837490;7.39036481210951e+15;0;1.61683437552262e+15;0;NaN;0.900309458374977;0;1;0.900309458374977;0.5;NaN;0;0.810557120839445;0.820495324928935;0;NaN;0;0;0.179504675071065;NaN;NaN;NaN;NaN;0.820495323591521;0;0.3360876;0.5314602;0.5302395;0.5169314;0.3333988;0.2668533;0.2368448;0.1785555;0.09518176;0.06243002;NaN;NaN;NaN;NaN;NaN
