Row;Number of Positives;Number of Negatives;Number of True Positives;Number of False Positives;Number of False Negatives;Number of True Negatives;Pair counting cardinality P_1,1;Pair counting cardinality P_1,0;Pair counting cardinality P_0,1;Pair counting cardinality P_0,0;Precision;Negative Predictive Value;Recall;Specificity;Accuracy;Balanced Accuracy;Matthews Correlation Coefficient;Intersection over Union;Balanced Intersection over Union*;Segmentation Covering;Dice coefficient;F2-score;Cohen kappa;Global Consistency Error;Bidirectional Consistency Error;Mutual Information;Variation of Information;Pearson Correlation Coefficient;Normalized Variation of Information;Rand Index;Adjusted Rand Index;Average Hausdorff Distance;Surface Consistency Measure (a=0.5,k=3);Surface Consistency Measure (a=1,k=3);Surface Consistency Measure (a=2,k=3);Surface Consistency Measure (a=0.5,k=5);Surface Consistency Measure (a=1,k=5);Surface Consistency Measure (a=2,k=5);Surface Consistency Measure (a=0.5,k=7);Surface Consistency Measure (a=1,k=7);Surface Consistency Measure (a=2,k=7);Error Rate;Maximum Error Distance;Minimum Error Distance;Average Error Distance;Median Error Distance
Erosion 0.01;12002290;122215438;12002290;0;1342177;120873261;7.37810074744991e+15;16109197585330;162233310829198;1.45075593176769e+15;1;0.989017942234106;0.899420711220613;1;0.990000002086163;0.949710355610306;0.94315598975681;0.899420711220613;0.980109824727074;0.980109824727074;0.947047387561257;0.917884750293812;0.941543131822849;0.0197803547181777;0.028774559954046;0.246143406655074;0.110119601210547;0.817200483666557;0.309096366390313;0.980200003941357;0.9301846492223;0.009999998;0.268942;0.1192011;0.01798677;0.1192011;0.01798677;0.0003371239;0.04742658;0.002469063;4.172325e-07;0.00999999791383743;1;1;1;1
Erosion 0.02;10660112;123557616;10660112;0;2684355;120873261;7.36559442008748e+15;28615524947760;324466742531656;1.28852250006523e+15;1;0.978274467516434;0.798841347503801;1;0.979999996721745;0.8994206737519;0.884017021249812;0.798841347503801;0.960434504164382;0.960434504164382;0.888173210619524;0.832327315758555;0.877341783978104;0.0391309851147246;0.0551078146836066;0.204836695476349;0.168890195207679;0.708689101414858;0.451908062859916;0.960799993413687;0.856376447862987;0.02264904;0.2829742;0.1373475;0.02830899;0.1271756;0.02139157;0.0005462766;0.05096561;0.002957463;6.556511e-07;0.0200000032782555;2;1;1.13244891166687;1
Erosion 0.03;9317935;124899793;9317935;0;4026532;120873261;7.35669098158382e+15;37518963451420;486700053360852;1.12628918923604e+15;1;0.967761900133814;0.698262058724414;1;0.969999998807907;0.849131029362207;0.822041006728063;0.698262058724414;0.940967140650231;0.940967140650231;0.822325453409572;0.743106759474793;0.806505559226784;0.058065716315353;0.0790135789094786;0.168653866377801;0.216042000414851;0.611983920411699;0.561591685962397;0.941799997325242;0.777870759714893;0.03896055;0.3005864;0.1601175;0.04126561;0.1371799;0.02566659;0.0008111;0.05540884;0.003565311;4.172325e-06;0.0300000011920929;2;1;1.29868042469025;1
Erosion 0.04;7975758;126241970;7975758;0;5368709;120873261;7.35139042127882e+15;42819523756422;648933364190050;964055878406838;1;0.957472867383169;0.597682769945027;1;0.96000000089407;0.798841384972513;0.756482012690837;0.597682769945027;0.92170108705479;0.92170108705479;0.748187038363807;0.649982610644724;0.727949833640831;0.0765978276785586;0.10050513794199;0.135761554076656;0.255059863916113;0.521062170343959;0.652625092110054;0.923200001072883;0.693812582481186;0.06394512;0.3350389;0.2157141;0.1050636;0.1590446;0.03941035;0.002819955;0.06574601;0.005634964;5.00083e-05;0.0399999991059303;3;1;1.59862339496613;1.41421353816986
Erosion 0.05;6633581;127584147;6633581;0;6710886;120873261;7.34969273917248e+15;44517205862766;811166675019246;801822567577642;1;0.947400314554754;0.49710348116564;1;0.950000002980232;0.74855174058282;0.686262336444738;0.49710348116564;0.902629990075967;0.902629990075967;0.664087001893278;0.552692953639563;0.640340018611447;0.0947400258085295;0.119595198385328;0.105289636367122;0.287439764226247;0.432439958611565;0.731902841478023;0.905000004656613;0.603153317124551;0.09238654;0.3641706;0.2650522;0.1704218;0.1786194;0.05430615;0.006706536;0.0753687;0.008030474;0.0001029968;0.0499999970197678;4;1;1.84772622585297;1.73205077648163
Erosion 0.06;5291403;128926325;5291403;0;8053064;120873261;7.35159793802645e+15;42612007008792;973400106721704;639589135875184;1;0.937537473436864;0.396524117448827;1;0.939999997615814;0.698262058724414;0.60971814736791;0.396524117448827;0.883747746974339;0.883747746974339;0.567872924634052;0.450951827916866;0.54201499365317;0.112504501282951;0.136295949275268;0.0767260473528447;0.313860439569556;0.34301729685197;0.803561951266153;0.887199994963408;0.504591258997208;0.1302783;0.4027569;0.3337293;0.273434;0.2080203;0.08538032;0.02510273;0.09117806;0.0139991;0.0006036758;0.0600000023841858;5;1;2.17130184173584;2
Erosion 0.07;3949226;130268502;3949226;0;9395241;120873261;7.35710601500178e+15;37103930033466;1.1356334175509e+15;477355825045986;1;0.92787787641866;0.29594482866944;1;0.929999999701977;0.64797241433472;0.52402352920731;0.29594482866944;0.865048548076141;0.865048548076141;0.456724425488529;0.344446728801568;0.430881087639219;0.129902903251671;0.15061904134673;0.0497328432161128;0.334471812869976;0.248726422638361;0.870556375545409;0.869799998517334;0.396489322094347;0.1763897;0.4436428;0.4038332;0.3699686;0.242866;0.1313228;0.06922066;0.111711;0.02504474;0.002482891;0.0700000002980232;6;1;2.51984858512878;2.2360680103302
Erosion 0.08;2607049;131610679;2607049;0;10737418;120873261;7.36621697017576e+15;27992974859482;1.2978667283801e+15;315122514216790;1;0.91841529819932;0.195365539890053;1;0.920000001788139;0.597682769945027;0.423587890025192;0.195365539890053;0.846526779574448;0.846526779574448;0.326871627749989;0.232834943740293;0.304260876048283;0.146946444427382;0.162575687269246;0.0240700757087569;0.348852048727199;0.141706527785428;0.935455490217528;0.852800001907349;0.276757515023575;0.2346274;0.4882671;0.4705412;0.4480325;0.2874613;0.2003049;0.1597079;0.142652;0.05296391;0.01805091;0.0799999982118607;7;1;2.93284130096436;2.82842707633972
Erosion 0.09;1264871;132952857;1264871;0;12079596;120873261;7.37893081436312e+15;15279130672116;1.46010016008256e+15;152889082514332;1;0.909143765146769;0.0947861761732409;1;0.909999996423721;0.54739308808662;0.293554528307784;0.0947861761732409;0.828177054309161;0.828177054309161;0.173159249241821;0.115740080306004;0.158674835479028;0.163645884229121;0.172176640423695;-0.00044141704414713;0.355423810933781;-0.00348258621646764;1.00124348996386;0.836199992914498;0.142683433678902;0.3073901;0.5328847;0.5274627;0.5093133;0.3390011;0.2769151;0.2505275;0.1860381;0.1092582;0.0816617;0.0900000035762787;9;1;3.41544008255005;3
Erosion 0.1;0;1;0;0;13344467;120873261;7.39420994503524e+15;0;1.61298924259689e+15;0;NaN;0.90057597309351;0;1;0.90057597309351;0.5;NaN;0;0.811037083313322;0.820922220439624;0;NaN;0;0;0.179077779560376;NaN;NaN;NaN;NaN;0.820922219105391;0;0.4010181;0.5737243;0.5720729;0.5558233;0.3930041;0.3441547;0.3215304;0.2434933;0.1854311;0.1668413;NaN;NaN;NaN;NaN;NaN
