Row;Number of Positives;Number of Negatives;Number of True Positives;Number of False Positives;Number of False Negatives;Number of True Negatives;Pair counting cardinality P_1,1;Pair counting cardinality P_1,0;Pair counting cardinality P_0,1;Pair counting cardinality P_0,0;Precision;Negative Predictive Value;Recall;Specificity;Accuracy;Balanced Accuracy;Matthews Correlation Coefficient;Intersection over Union;Balanced Intersection over Union*;Segmentation Covering;Dice coefficient;F2-score;Cohen kappa;Global Consistency Error;Bidirectional Consistency Error;Mutual Information;Variation of Information;Pearson Correlation Coefficient;Normalized Variation of Information;Rand Index;Adjusted Rand Index;Average Hausdorff Distance;Surface Consistency Measure (a=0.5,k=3);Surface Consistency Measure (a=1,k=3);Surface Consistency Measure (a=2,k=3);Surface Consistency Measure (a=0.5,k=5);Surface Consistency Measure (a=1,k=5);Surface Consistency Measure (a=2,k=5);Surface Consistency Measure (a=0.5,k=7);Surface Consistency Measure (a=1,k=7);Surface Consistency Measure (a=2,k=7);Error Rate;Maximum Error Distance;Minimum Error Distance;Average Error Distance;Median Error Distance
Erosion 0.01;65441028;68776700;65441028;0;1342177;67434523;4.41587217140796e+15;87833442637956;90509065776571;4.41298450780964e+15;1;0.980485004369212;0.979902476977558;1;0.990000002086163;0.989951238488779;0.98019369739901;0.979902476977558;0.980195154087922;0.980195154087922;0.98984923588099;0.983857095101477;0.979997591829985;0.019609695996482;0.0294087187220217;0.643570825809442;0.0985349895486902;0.928890343806572;0.132777546691422;0.980200003941357;0.960400007306922;0.009999998;0.2689419;0.1192021;0.01798856;0.1192021;0.01798856;0.0003553629;0.04742575;0.002470851;4.768372e-07;0.00999999791383743;1;1;1;1
Erosion 0.02;64098850;70118878;64098850;0;2684355;67434523;4.33164154555416e+15;172064068491750;181018198987665;4.32247537459855e+15;1;0.961717085661297;0.95980493898129;1;0.979999996721745;0.979902469490645;0.960760536616906;0.95980493898129;0.960765651855764;0.960765651855764;0.979490274659884;0.967583353367146;0.95999128528297;0.0384686897319604;0.057664791658072;0.607971085140727;0.169037110804515;0.87794983002659;0.217548684411081;0.960799993413687;0.921599983114409;0.02;0.2689421;0.119202;0.01798719;0.119202;0.01798719;0.0003560781;0.047427;0.002474964;1.192093e-07;0.0200000032782555;1;1;1;1
Erosion 0.03;62756673;71461055;62756673;0;4026532;67434523;4.25101386199788e+15;252691752048036;271527264764236;4.23196630882198e+15;1;0.943654176390203;0.939707415958848;1;0.969999998807907;0.969853707979424;0.941678728470816;0.939707415958848;0.941690372391278;0.941690372391278;0.968916660551433;0.95117720223966;0.939981109039587;0.0566192528332591;0.084810476432243;0.57741242585337;0.229056236512556;0.834483420274128;0.28402372863513;0.941799997325242;0.883599983125578;0.03;0.2689428;0.1192012;0.01798594;0.1192012;0.01798594;0.0003365874;0.04742312;0.002470613;6.556511e-07;0.0300000011920929;1;1;1;1
Erosion 0.04;61414496;72803232;61414496;0;5368709;67434523;4.17398905664025e+15;329716557405664;362036330540807;4.14145724304541e+15;1;0.926257271105766;0.919609892936405;1;0.96000000089407;0.959804946468203;0.922927597329899;0.919609892936405;0.922949710877978;0.922949710877978;0.958121643694687;0.934637006743954;0.919967047063915;0.0741005800321842;0.110884974927445;0.550063915345172;0.282253348023929;0.795823159091467;0.339117498153778;0.923200001072884;0.846399976111156;0.04;0.2689421;0.1192023;0.01798618;0.1192023;0.01798618;0.0003333688;0.04742754;0.002472281;3.0756e-05;0.0399999991059303;1;1;1;1
Erosion 0.05;60072319;74145409;60072319;0;6710886;67434523;4.10056712948128e+15;403138484564634;452545396317378;4.05094817726884e+15;1;0.909490201881549;0.899512369913963;1;0.950000002980232;0.949756184956981;0.90448752722633;0.899512369913963;0.904525495596647;0.904525495596647;0.947098196527886;0.917961117352744;0.899949098224003;0.0909490147671708;0.135924630582113;0.525057752027292;0.33036283660013;0.760694983984762;0.386199304753956;0.905000004656613;0.809999960138547;0.05;0.2689411;0.119202;0.01798725;0.119202;0.01798725;0.0003579259;0.04742551;0.002472281;3.576279e-07;0.0499999970197678;1;1;1;1
Erosion 0.06;58730141;75487587;58730141;0;8053064;67434523;4.03074802984389e+15;472957584202024;543054529528472;3.96043904405774e+15;1;0.893319361234848;0.879414831917695;1;0.939999997615814;0.939707415958848;0.886339830939108;0.879414831917695;0.886400833811884;0.886400833811884;0.93583898241387;0.901147844783746;0.879927246468575;0.10719832760786;0.15996321961961;0.501884093247603;0.374402839398248;0.728344344559141;0.427260552964975;0.887199994963408;0.774399907139474;0.06300431;0.2742471;0.1260641;0.02189255;0.1222178;0.01927418;0.000415206;0.04876548;0.002656698;8.34465e-07;0.0600000023841858;2;1;1.05007100105286;1
Erosion 0.07;57387964;76829764;57387964;0;9395241;67434523;3.96453186176659e+15;539173752279324;633563595305043;3.86992997828117e+15;1;0.877713525190576;0.859317308895253;1;0.929999999701977;0.929658654447626;0.868466708888563;0.859317308895253;0.868560052677057;0.868560052677057;0.92433637312378;0.884195509647234;0.859901520499667;0.122879894049839;0.183032105928603;0.48020711099289;0.415043127603196;0.698270092712207;0.463605715709228;0.869799998517334;0.739599868410318;0.07932831;0.283062;0.1374638;0.02838349;0.1272256;0.02141464;0.0005478859;0.0509879;0.002961278;3.874302e-06;0.0700000002980232;2;1;1.13326048851013;1
Erosion 0.08;56045787;78171941;56045787;0;10737418;67434523;3.90191857188795e+15;601787042157966;724072661081614;3.7794209125046e+15;1;0.862643579491009;0.83921978587281;1;0.920000001788139;0.919609892936405;0.850851079840062;0.83921978587281;0.850988516971386;0.850988516971386;0.912582381201989;0.867102366710802;0.839871904268021;0.138022969633508;0.205160551002691;0.459788894975083;0.452757280493299;0.670114222882085;0.49614725551933;0.852800001907349;0.705599815467558;0.09566003;0.2896832;0.1460293;0.03326255;0.1309878;0.02302349;0.0006475449;0.05265975;0.00318861;3.886223e-05;0.0799999982118607;2;1;1.19574618339539;1
Erosion 0.09;54703609;79514119;54703609;0;12079596;67434523;3.84290811758395e+15;660797496461964;814581794292708;3.68891177929351e+15;1;0.848082376414181;0.819122247876543;1;0.909999996423721;0.909561123938272;0.833476539893514;0.819122247876543;0.833672579513466;0.833672579513466;0.90056866583068;0.849866641417402;0.819838381712344;0.15265483382051;0.226375839058809;0.440452236251899;0.487897110606976;0.643607835130611;0.525553351502648;0.836199992914498;0.672399722302215;0.111978;0.2948161;0.1526672;0.0370388;0.1339039;0.02426934;0.0007243752;0.05395377;0.00336659;1.037121e-05;0.0900000035762787;2;1;1.24419546127319;1
Erosion 0.1;53361432;80856296;53361432;0;13421773;67434523;3.78750058678698e+15;716205027258936;905090860069279;3.59840271351694e+15;1;0.834004602436896;0.799024724854101;1;0.899999998509884;0.89951236242705;0.81632732282412;0.799024724854101;0.816599537023431;0.816599537023431;0.88828654082995;0.83248656827705;0.799800981550741;0.166800922972907;0.246703396648956;0.422060195223672;0.520733523560589;0.618541395843849;0.552330285178478;0.81999999627471;0.639999636905637;0.1283055;0.2989338;0.1579919;0.04007304;0.1362432;0.02526832;0.0007886887;0.05499256;0.003508329;1.251698e-06;0.100000001490116;2;1;1.28305196762085;1
